nodes,groups,scenario,status,converged_ms,initial_ms,recovery_ms,heads,members,tx,delivered,rejected,dropped,delayed,duplicated,asymmetric,max_tx_1s,note
64,8,clean,pass,8920,8920,8920,8,56,1032,1032,0,0,0,0,0,13,current-fsm
64,8,impaired,isolation-pass,0,0,0,10,54,5340,3512,1197,851,4365,220,64,13,partitioned-groups-no-global-convergence-claim
64,8,mobility,pass,23000,8920,0,8,56,2768,2224,544,0,0,0,0,13,member-leave-return
64,8,score-shift,pass,8920,0,4920,8,56,1408,1352,56,0,0,0,0,13,head-score-change-without-authority-failover
64,8,head-failover,expected-fence,0,8920,0,0,48,2512,1944,288,0,0,0,0,13,v3-authority-fenced-no-failover-claim
256,32,clean,pass,8920,8920,8920,32,224,4128,4128,0,0,0,0,0,13,current-fsm
256,32,impaired,isolation-pass,0,0,0,39,217,21022,13822,4814,3286,17288,901,256,14,partitioned-groups-no-global-convergence-claim
256,32,mobility,pass,23000,8920,0,32,224,11072,8896,2176,0,0,0,0,13,member-leave-return
256,32,score-shift,pass,8920,0,4920,32,224,5632,5408,224,0,0,0,0,13,head-score-change-without-authority-failover
256,32,head-failover,expected-fence,0,8920,0,0,192,10048,7776,1152,0,0,0,0,13,v3-authority-fenced-no-failover-claim
1000,125,clean,pass,8920,8920,8920,125,875,16125,16125,0,0,0,0,0,13,current-fsm
1000,125,impaired,isolation-pass,0,0,0,143,857,79162,51184,18723,12623,64920,3374,1000,14,partitioned-groups-no-global-convergence-claim
1000,125,mobility,pass,23000,8920,0,125,875,43250,34750,8500,0,0,0,0,13,member-leave-return
1000,125,score-shift,pass,8920,0,4920,125,875,22000,21125,875,0,0,0,0,13,head-score-change-without-authority-failover
1000,125,head-failover,expected-fence,0,8920,0,0,750,39250,30375,4500,0,0,0,0,13,v3-authority-fenced-no-failover-claim
