node_id,degree,admitted,routes_current,routes_hwm,discoveries_hwm,candidates_hwm,q0_hwm,q1_hwm,pending_q1_hwm,paths_hwm,flows_hwm,app_generated,app_accepted,origin_delivered,duplicate_deliveries,q0_generated,q0_accepted,q0_delivered,q1_generated,q1_accepted,q1_delivered,delivery_pct,payload_delivered_bytes,origin_wire_bytes,wire_efficiency_pct,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,frames_tx,frames_rx,forwarded_frames_tx,control_frames_tx,business_frames_tx,wire_bytes_tx,wire_bytes_rx,no_space,no_route,link_down,other_rejected,core_tx_sent,core_rx_delivered,route_requests_sent,route_errors_sent,control_budget_dropped,host_work_us,node_storage_bytes
1,3,3,8,8,0,0,0,0,0,0,0,110,110,110,0,10,10,10,100,100,100,100.000000,1760,12400,14.193548,10,10,10,10,464,1344,330,24,440,23840,69600,0,0,0,0,464,550,0,0,0,744,8136
2,4,4,8,8,0,0,0,0,0,0,0,110,110,110,0,10,10,10,100,100,100,100.000000,1760,12720,13.836478,10,10,10,10,582,1682,440,32,550,29880,87080,0,0,0,0,582,440,0,0,0,836,8136
3,4,4,8,8,0,0,0,0,0,0,0,110,110,110,0,10,10,10,100,100,100,100.000000,1760,12720,13.836478,10,10,10,10,472,1462,330,32,440,24160,75640,0,0,0,0,472,330,0,0,0,700,8136
4,4,4,8,8,0,0,0,0,0,0,0,110,110,110,0,10,10,10,100,100,100,100.000000,1760,12720,13.836478,10,10,10,10,472,1352,330,32,440,24160,69920,0,0,0,0,472,220,0,0,0,666,8136
5,4,4,8,8,0,0,0,0,0,0,0,110,110,110,0,10,10,10,100,100,100,100.000000,1760,12720,13.836478,10,10,10,10,472,1462,330,32,440,24160,75640,0,0,0,0,472,220,0,0,0,703,8136
6,4,4,8,8,0,0,0,0,0,0,0,110,110,110,0,10,10,10,100,100,100,100.000000,1760,12720,13.836478,10,10,10,10,472,1352,330,32,440,24160,69920,0,0,0,0,472,110,0,0,0,656,8136
7,4,4,8,8,0,0,0,0,0,0,0,110,110,110,0,10,10,10,100,100,100,100.000000,1760,12720,13.836478,10,10,10,10,472,1352,330,32,440,24160,69920,0,0,0,0,472,110,0,0,0,657,8136
8,4,4,8,8,0,0,0,0,0,0,0,110,110,110,0,10,10,10,100,100,100,100.000000,1760,12720,13.836478,10,10,10,10,472,1352,330,32,440,24160,69920,0,0,0,0,472,110,0,0,0,659,8136
9,4,4,8,8,0,0,0,0,0,0,0,110,110,110,0,10,10,10,100,100,100,100.000000,1760,12720,13.836478,10,10,10,10,472,1352,330,32,440,24160,69920,0,0,0,0,472,110,0,0,0,648,8136
10,4,4,8,8,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,12720,0.000000,0,0,0,0,472,1352,330,32,440,24160,69920,0,0,0,0,472,110,0,0,0,658,8136
11,4,4,8,8,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,12720,0.000000,0,0,0,0,472,1352,330,32,440,24160,69920,0,0,0,0,472,110,0,0,0,657,8136
12,4,4,8,8,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,12720,0.000000,0,0,0,0,472,1352,330,32,440,24160,69920,0,0,0,0,472,110,0,0,0,666,8136
13,4,4,8,8,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,12720,0.000000,0,0,0,0,472,1352,330,32,440,24160,69920,0,0,0,0,472,110,0,0,0,658,8136
14,4,4,8,8,0,0,0,0,0,0,0,110,110,110,0,10,10,10,100,100,100,100.000000,1760,12720,13.836478,10,10,10,10,472,1132,330,32,440,24160,58480,0,0,0,0,472,110,0,0,0,578,8136
15,4,4,8,8,0,0,0,0,0,0,0,110,110,110,0,10,10,10,100,100,100,100.000000,1760,12720,13.836478,10,10,10,10,472,362,330,32,440,24160,18440,0,0,0,0,472,0,0,0,0,326,8136
16,4,4,8,8,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,12720,0.000000,0,0,0,0,472,362,330,32,440,24160,18440,0,0,0,0,472,0,0,0,0,317,8136
17,4,4,8,8,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,12720,0.000000,0,0,0,0,472,362,330,32,440,24160,18440,0,0,0,0,472,0,0,0,0,318,8136
18,4,4,8,8,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,12720,0.000000,0,0,0,0,472,362,330,32,440,24160,18440,0,0,0,0,472,0,0,0,0,327,8136
19,4,4,8,8,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,12720,0.000000,0,0,0,0,472,362,330,32,440,24160,18440,0,0,0,0,472,0,0,0,0,328,8136
20,4,4,8,8,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,12720,0.000000,0,0,0,0,472,362,330,32,440,24160,18440,0,0,0,0,472,0,0,0,0,322,8136
21,4,4,8,8,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,12720,0.000000,0,0,0,0,472,362,330,32,440,24160,18440,0,0,0,0,472,0,0,0,0,317,8136
22,4,4,8,8,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,12720,0.000000,0,0,0,0,472,362,330,32,440,24160,18440,0,0,0,0,472,0,0,0,0,317,8136
23,4,4,8,8,0,0,0,0,0,0,0,110,110,110,0,10,10,10,100,100,100,100.000000,1760,12720,13.836478,10,10,10,10,472,362,330,32,440,24160,18440,0,0,0,0,472,0,0,0,0,318,8136
24,4,4,8,8,0,0,0,0,0,0,0,110,110,110,0,10,10,10,100,100,100,100.000000,1760,12720,13.836478,10,10,10,10,472,362,330,32,440,24160,18440,0,0,0,0,472,0,0,0,0,314,8136
25,4,4,8,8,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,12720,0.000000,0,0,0,0,472,362,330,32,440,24160,18440,0,0,0,0,472,0,0,0,0,315,8136
26,4,4,8,8,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,12720,0.000000,0,0,0,0,472,362,330,32,440,24160,18440,0,0,0,0,472,0,0,0,0,315,8136
27,4,4,8,8,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,12720,0.000000,0,0,0,0,472,362,330,32,440,24160,18440,0,0,0,0,472,0,0,0,0,321,8136
28,4,4,8,8,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,12720,0.000000,0,0,0,0,472,362,330,32,440,24160,18440,0,0,0,0,472,0,0,0,0,324,8136
29,4,4,8,8,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,12720,0.000000,0,0,0,0,472,362,330,32,440,24160,18440,0,0,0,0,472,0,0,0,0,327,8136
30,4,4,8,8,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,12720,0.000000,0,0,0,0,472,362,330,32,440,24160,18440,0,0,0,0,472,0,0,0,0,333,8136
31,4,4,8,8,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,12720,0.000000,0,0,0,0,472,362,330,32,440,24160,18440,0,0,0,0,472,0,0,0,0,320,8136
32,4,4,8,8,0,0,0,0,0,0,0,110,110,110,0,10,10,10,100,100,100,100.000000,1760,12720,13.836478,10,10,10,10,472,362,330,32,440,24160,18440,0,0,0,0,472,0,0,0,0,321,8136
33,4,4,8,8,0,0,0,0,0,0,0,110,110,110,0,10,10,10,100,100,100,100.000000,1760,12720,13.836478,10,10,10,10,472,362,330,32,440,24160,18440,0,0,0,0,472,0,0,0,0,352,8136
34,4,4,8,8,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,12720,0.000000,0,0,0,0,472,362,330,32,440,24160,18440,0,0,0,0,472,0,0,0,0,318,8136
35,4,4,8,8,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,12720,0.000000,0,0,0,0,472,362,330,32,440,24160,18440,0,0,0,0,472,0,0,0,0,323,8136
36,4,4,8,8,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,12720,0.000000,0,0,0,0,472,362,330,32,440,24160,18440,0,0,0,0,472,0,0,0,0,316,8136
37,4,4,8,8,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,12720,0.000000,0,0,0,0,472,362,330,32,440,24160,18440,0,0,0,0,472,0,0,0,0,316,8136
38,4,4,8,8,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,12720,0.000000,0,0,0,0,472,362,330,32,440,24160,18440,0,0,0,0,472,0,0,0,0,324,8136
39,4,4,8,8,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,12720,0.000000,0,0,0,0,472,362,330,32,440,24160,18440,0,0,0,0,472,0,0,0,0,316,8136
40,4,4,8,8,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,12720,0.000000,0,0,0,0,472,362,330,32,440,24160,18440,0,0,0,0,472,0,0,0,0,314,8136
41,4,4,8,8,0,0,0,0,0,0,0,110,110,110,0,10,10,10,100,100,100,100.000000,1760,12720,13.836478,10,10,10,10,472,362,330,32,440,24160,18440,0,0,0,0,472,0,0,0,0,338,8136
42,4,4,8,8,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,12720,0.000000,0,0,0,0,472,362,330,32,440,24160,18440,0,0,0,0,472,0,0,0,0,322,8136
43,2,2,6,6,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,12080,0.000000,0,0,0,0,236,126,110,16,220,12080,6360,0,0,0,0,236,0,0,0,0,154,8136
44,1,1,5,5,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,11760,0.000000,0,0,0,0,118,8,0,8,110,6040,320,0,0,0,0,118,0,0,0,0,58,8136
45,1,1,5,5,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,11760,0.000000,0,0,0,0,118,8,0,8,110,6040,320,0,0,0,0,118,0,0,0,0,57,8136
46,1,1,5,5,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,11760,0.000000,0,0,0,0,118,8,0,8,110,6040,320,0,0,0,0,118,0,0,0,0,71,8136
47,1,1,5,5,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,11760,0.000000,0,0,0,0,118,8,0,8,110,6040,320,0,0,0,0,118,0,0,0,0,63,8136
48,1,1,5,5,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,11760,0.000000,0,0,0,0,118,8,0,8,110,6040,320,0,0,0,0,118,0,0,0,0,59,8136
49,1,1,5,5,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,11760,0.000000,0,0,0,0,118,8,0,8,110,6040,320,0,0,0,0,118,0,0,0,0,55,8136
50,1,1,5,5,0,0,0,0,0,0,0,110,110,110,0,10,10,10,100,100,100,100.000000,1760,11760,14.965986,10,10,10,10,118,8,0,8,110,6040,320,0,0,0,0,118,0,0,0,0,58,8136
51,1,1,5,5,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,11760,0.000000,0,0,0,0,118,8,0,8,110,6040,320,0,0,0,0,118,0,0,0,0,60,8136
52,1,1,5,5,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,11760,0.000000,0,0,0,0,118,8,0,8,110,6040,320,0,0,0,0,118,0,0,0,0,58,8136
53,1,1,5,5,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,11760,0.000000,0,0,0,0,118,8,0,8,110,6040,320,0,0,0,0,118,0,0,0,0,56,8136
54,1,1,5,5,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,11760,0.000000,0,0,0,0,118,8,0,8,110,6040,320,0,0,0,0,118,0,0,0,0,60,8136
55,1,1,5,5,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,11760,0.000000,0,0,0,0,118,8,0,8,110,6040,320,0,0,0,0,118,0,0,0,0,68,8136
56,1,1,5,5,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,11760,0.000000,0,0,0,0,118,8,0,8,110,6040,320,0,0,0,0,118,0,0,0,0,57,8136
57,1,1,5,5,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,11760,0.000000,0,0,0,0,118,8,0,8,110,6040,320,0,0,0,0,118,0,0,0,0,56,8136
58,1,1,5,5,0,0,0,0,0,0,0,110,110,0,0,10,10,0,100,100,0,0.000000,0,11760,0.000000,0,0,0,0,118,8,0,8,110,6040,320,0,0,0,0,118,0,0,0,0,58,8136
59,1,1,5,5,0,0,0,0,0,0,0,110,110,110,0,10,10,10,100,100,100,100.000000,1760,11760,14.965986,10,10,10,10,118,8,0,8,110,6040,320,0,0,0,0,118,0,0,0,0,60,8136
