node_id,degree,admitted,routes_current,routes_hwm,discoveries_hwm,candidates_hwm,q0_hwm,q1_hwm,pending_q1_hwm,paths_hwm,flows_hwm,app_generated,app_accepted,origin_delivered,duplicate_deliveries,q0_generated,q0_accepted,q0_delivered,q1_generated,q1_accepted,q1_delivered,delivery_pct,payload_delivered_bytes,origin_wire_bytes,wire_efficiency_pct,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,frames_tx,frames_rx,forwarded_frames_tx,control_frames_tx,business_frames_tx,wire_bytes_tx,wire_bytes_rx,no_space,no_route,link_down,other_rejected,core_tx_sent,core_rx_delivered,route_requests_sent,route_errors_sent,control_budget_dropped,host_work_us,node_storage_bytes
1,3,3,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,11360,14.084507,10,10,10,10,463,485,339,63,400,23634,24694,0,0,0,0,463,100,0,0,0,404,8136
2,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,5792,0.000000,0,0,0,0,283,311,211,183,100,13686,15496,10,0,0,0,283,0,9,4,10,299,8136
3,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,4736,0.000000,0,0,0,0,426,452,358,126,300,21394,23042,10,0,0,0,426,0,9,0,10,409,8136
4,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,6080,26.315789,10,10,10,10,364,353,232,64,300,18020,17492,0,0,0,0,364,100,0,0,0,306,8136
5,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,4256,0.000000,0,0,0,0,195,206,123,195,0,9062,10054,10,0,0,0,195,0,9,4,10,233,8136
6,1,1,5,6,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,3214,0.000000,0,0,0,0,22,46,0,20,2,1002,2122,0,0,0,0,22,0,11,0,0,80,8136
7,1,1,6,7,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,3598,0.000000,0,0,0,0,22,45,0,20,2,1002,2072,0,0,0,0,22,0,11,0,0,78,8136
8,1,1,8,8,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,2624,0.000000,0,0,0,0,18,26,0,18,0,800,1184,0,0,0,0,18,0,10,0,0,75,8136
9,1,1,7,7,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,10720,14.925373,10,10,10,10,108,136,0,8,100,5520,6864,0,0,0,0,108,100,0,0,0,106,8136
10,1,1,7,7,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,16070,0.000000,0,0,0,0,109,36,0,9,100,5570,1664,0,0,0,0,109,0,0,0,0,62,8136
11,1,1,7,7,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,16020,0.000000,0,0,0,0,109,18,0,9,100,5570,800,0,0,0,0,109,0,0,0,0,57,8136
12,1,1,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,5120,31.250000,10,10,10,10,108,118,0,8,100,5120,5600,0,0,0,0,108,100,0,0,0,101,8136
13,1,1,7,7,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,21220,0.000000,0,0,0,0,109,18,0,9,100,5570,800,0,0,0,0,109,0,0,0,0,55,8136
14,1,1,5,6,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,2830,0.000000,0,0,0,0,22,50,0,20,2,1002,2314,0,0,0,0,22,0,11,0,0,82,8136
15,1,1,6,7,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,2680,0.000000,0,0,0,0,21,50,0,19,2,952,2314,0,0,0,0,21,0,11,0,0,77,8136
16,1,1,6,6,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,2384,0.000000,0,0,0,0,18,47,0,18,0,800,2192,0,0,0,0,18,0,10,0,0,73,8136
