node_id,degree,admitted,routes_current,routes_hwm,discoveries_hwm,candidates_hwm,q0_hwm,q1_hwm,pending_q1_hwm,paths_hwm,flows_hwm,app_generated,app_accepted,origin_delivered,duplicate_deliveries,q0_generated,q0_accepted,q0_delivered,q1_generated,q1_accepted,q1_delivered,delivery_pct,payload_delivered_bytes,origin_wire_bytes,wire_efficiency_pct,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,frames_tx,frames_rx,forwarded_frames_tx,control_frames_tx,business_frames_tx,wire_bytes_tx,wire_bytes_rx,no_space,no_route,link_down,other_rejected,core_tx_sent,core_rx_delivered,route_requests_sent,route_errors_sent,control_budget_dropped,host_work_us,node_storage_bytes
1,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,7472,0.000000,0,0,0,0,140,144,72,140,0,6464,6656,10,0,0,0,140,0,9,0,10,239,8136
2,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,7616,0.000000,0,0,0,0,140,137,72,140,0,6464,6320,10,0,0,0,140,0,9,0,10,172,8136
3,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,7472,0.000000,0,0,0,0,140,136,72,140,0,6464,6272,10,0,0,0,140,0,9,0,10,161,8136
4,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,7040,0.000000,0,0,0,0,140,141,72,140,0,6464,6512,10,0,0,0,140,0,9,0,10,159,8136
5,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,7040,0.000000,0,0,0,0,152,136,84,152,0,7040,6272,10,0,0,0,152,0,9,0,10,164,8136
6,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,7040,0.000000,0,0,0,0,143,142,75,143,0,6608,6560,10,0,0,0,143,0,9,0,10,164,8136
7,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,7184,0.000000,0,0,0,0,143,140,75,143,0,6608,6464,10,0,0,0,143,0,9,0,10,158,8136
8,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,7040,0.000000,0,0,0,0,140,139,72,140,0,6464,6416,10,0,0,0,140,0,9,0,10,158,8136
9,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,6752,0.000000,0,0,0,0,140,142,72,140,0,6464,6560,10,0,0,0,140,0,9,0,10,166,8136
10,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,6752,0.000000,0,0,0,0,140,141,72,140,0,6464,6512,10,0,0,0,140,0,9,0,10,162,8136
11,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,6464,0.000000,0,0,0,0,140,141,72,140,0,6464,6512,10,0,0,0,140,0,9,0,10,157,8136
12,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,6464,0.000000,0,0,0,0,140,140,72,140,0,6464,6464,10,0,0,0,140,0,9,0,10,156,8136
13,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,6464,0.000000,0,0,0,0,140,140,72,140,0,6464,6464,10,0,0,0,140,0,9,0,10,157,8136
14,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,6464,0.000000,0,0,0,0,140,140,72,140,0,6464,6464,10,0,0,0,140,0,9,0,10,185,8136
15,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,6464,0.000000,0,0,0,0,140,140,72,140,0,6464,6464,10,0,0,0,140,0,9,0,10,176,8136
16,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,6464,0.000000,0,0,0,0,140,140,72,140,0,6464,6464,10,0,0,0,140,0,9,0,10,166,8136
17,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,6464,0.000000,0,0,0,0,140,140,72,140,0,6464,6464,10,0,0,0,140,0,9,0,10,159,8136
18,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,6464,0.000000,0,0,0,0,140,140,72,140,0,6464,6464,10,0,0,0,140,0,9,0,10,156,8136
19,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,6464,0.000000,0,0,0,0,140,140,72,140,0,6464,6464,10,0,0,0,140,0,9,0,10,153,8136
20,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,6464,0.000000,0,0,0,0,140,140,72,140,0,6464,6464,10,0,0,0,140,0,9,0,10,155,8136
21,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,6464,0.000000,0,0,0,0,140,140,72,140,0,6464,6464,10,0,0,0,140,0,9,0,10,155,8136
