node_id,degree,admitted,routes_current,routes_hwm,discoveries_hwm,candidates_hwm,q0_hwm,q1_hwm,pending_q1_hwm,paths_hwm,flows_hwm,app_generated,app_accepted,origin_delivered,duplicate_deliveries,q0_generated,q0_accepted,q0_delivered,q1_generated,q1_accepted,q1_delivered,delivery_pct,payload_delivered_bytes,origin_wire_bytes,wire_efficiency_pct,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,frames_tx,frames_rx,forwarded_frames_tx,control_frames_tx,business_frames_tx,wire_bytes_tx,wire_bytes_rx,no_space,no_route,link_down,other_rejected,core_tx_sent,core_rx_delivered,route_requests_sent,route_errors_sent,control_budget_dropped,host_work_us,node_storage_bytes
1,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,16064,0.000000,0,0,0,0,94,93,30,94,0,4256,4208,20,0,0,0,94,0,8,0,36,207,8136
2,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,17360,0.000000,0,0,0,0,106,84,42,106,0,4832,3776,20,0,0,0,106,0,8,0,35,141,8136
3,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,17360,0.000000,0,0,0,0,106,87,42,106,0,4832,3920,20,0,0,0,106,0,8,0,35,128,8136
4,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,17072,0.000000,0,0,0,0,94,96,30,94,0,4256,4352,20,0,0,0,94,0,8,0,35,129,8136
5,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,2816,0.000000,0,0,0,0,106,96,42,106,0,4832,4352,20,0,0,0,106,0,8,0,36,134,8136
6,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,2816,0.000000,0,0,0,0,97,114,33,97,0,4400,5216,20,0,0,0,97,0,8,0,36,134,8136
7,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,2816,0.000000,0,0,0,0,109,109,45,109,0,4976,4976,20,0,0,0,109,0,8,0,36,133,8136
8,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,2816,0.000000,0,0,0,0,109,113,45,109,0,4976,5168,20,0,0,0,109,0,8,0,36,134,8136
9,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,2816,0.000000,0,0,0,0,97,110,33,97,0,4400,5024,20,0,0,0,97,0,8,0,36,129,8136
10,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,2816,0.000000,0,0,0,0,106,105,42,106,0,4832,4784,20,0,0,0,106,0,8,0,36,133,8136
11,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,14192,0.000000,0,0,0,0,106,106,42,106,0,4832,4832,20,0,0,0,106,0,8,0,36,138,8136
12,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,4832,0.000000,0,0,0,0,121,99,57,121,0,5552,4496,20,0,0,0,121,0,8,0,36,132,8136
13,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,5408,0.000000,0,0,0,0,94,99,30,94,0,4256,4496,20,0,0,0,94,0,8,0,36,125,8136
14,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,3824,0.000000,0,0,0,0,97,102,33,97,0,4400,4640,20,0,0,0,97,0,8,0,36,127,8136
15,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,3680,0.000000,0,0,0,0,106,100,42,106,0,4832,4544,20,0,0,0,106,0,8,0,36,130,8136
16,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,3680,0.000000,0,0,0,0,94,110,30,94,0,4256,5024,20,0,0,0,94,0,8,0,36,134,8136
17,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,3680,0.000000,0,0,0,0,94,96,30,94,0,4256,4352,20,0,0,0,94,0,8,0,36,126,8136
18,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,3536,0.000000,0,0,0,0,94,101,30,94,0,4256,4592,20,0,0,0,94,0,8,0,36,130,8136
19,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,3536,0.000000,0,0,0,0,94,101,30,94,0,4256,4592,20,0,0,0,94,0,8,0,36,128,8136
20,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,3536,0.000000,0,0,0,0,103,97,39,103,0,4688,4400,20,0,0,0,103,0,8,0,36,132,8136
21,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,11888,0.000000,0,0,0,0,103,98,39,103,0,4688,4448,20,0,0,0,103,0,8,0,36,131,8136
22,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,4400,0.000000,0,0,0,0,118,93,54,118,0,5408,4208,20,0,0,0,118,0,8,0,36,130,8136
23,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,4832,0.000000,0,0,0,0,97,99,33,97,0,4400,4496,20,0,0,0,97,0,8,0,36,131,8136
24,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,3536,0.000000,0,0,0,0,94,103,30,94,0,4256,4688,20,0,0,0,94,0,8,0,36,130,8136
25,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,3392,0.000000,0,0,0,0,103,99,39,103,0,4688,4496,20,0,0,0,103,0,8,0,36,130,8136
26,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,3536,0.000000,0,0,0,0,91,108,27,91,0,4112,4928,20,0,0,0,91,0,8,0,36,134,8136
27,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,3680,0.000000,0,0,0,0,97,94,33,97,0,4400,4256,20,0,0,0,97,0,8,0,36,129,8136
28,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,3536,0.000000,0,0,0,0,94,95,30,94,0,4256,4304,20,0,0,0,94,0,8,0,36,127,8136
29,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,3392,0.000000,0,0,0,0,94,98,30,94,0,4256,4448,20,0,0,0,94,0,8,0,36,129,8136
30,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,3392,0.000000,0,0,0,0,94,95,30,94,0,4256,4304,20,0,0,0,94,0,8,0,36,127,8136
31,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,3680,0.000000,0,0,0,0,97,94,33,97,0,4400,4256,20,0,0,0,97,0,8,0,36,127,8136
32,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,3680,0.000000,0,0,0,0,94,96,30,94,0,4256,4352,20,0,0,0,94,0,8,0,36,128,8136
33,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,3536,0.000000,0,0,0,0,97,92,33,97,0,4400,4160,20,0,0,0,97,0,8,0,36,127,8136
34,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,3536,0.000000,0,0,0,0,94,94,30,94,0,4256,4256,20,0,0,0,94,0,8,0,35,133,8136
35,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,3680,0.000000,0,0,0,0,94,95,30,94,0,4256,4304,20,0,0,0,94,0,8,0,35,128,8136
36,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,3680,0.000000,0,0,0,0,94,91,30,94,0,4256,4112,20,0,0,0,94,0,8,0,35,129,8136
37,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,3680,0.000000,0,0,0,0,94,92,30,94,0,4256,4160,20,0,0,0,94,0,8,0,36,127,8136
38,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,3536,0.000000,0,0,0,0,94,99,30,94,0,4256,4496,20,0,0,0,94,0,8,0,36,128,8136
39,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,3536,0.000000,0,0,0,0,97,93,33,97,0,4400,4208,20,0,0,0,97,0,8,0,36,128,8136
40,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,3680,0.000000,0,0,0,0,91,92,27,91,0,4112,4160,20,0,0,0,91,0,8,0,36,129,8136
41,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,9152,0.000000,0,0,0,0,94,88,30,94,0,4256,3968,20,0,0,0,94,0,8,0,36,127,8136
42,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,4112,0.000000,0,0,0,0,106,86,42,106,0,4832,3872,20,0,0,0,106,0,8,0,36,134,8136
43,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,4400,0.000000,0,0,0,0,94,91,30,94,0,4256,4112,20,0,0,0,94,0,8,0,36,128,8136
44,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,2816,0.000000,0,0,0,0,88,100,24,88,0,3968,4544,20,0,0,0,88,0,8,0,36,133,8136
45,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,2816,0.000000,0,0,0,0,97,97,33,97,0,4400,4400,20,0,0,0,97,0,8,0,36,136,8136
46,4,4,8,8,1,0,0,0,4,0,0,100,80,0,0,0,0,0,100,80,0,0.000000,0,2816,0.000000,0,0,0,0,88,104,24,88,0,3968,4736,20,0,0,0,88,0,8,0,35,135,8136
