node_id,degree,admitted,routes_current,routes_hwm,discoveries_hwm,candidates_hwm,q0_hwm,q1_hwm,pending_q1_hwm,paths_hwm,flows_hwm,app_generated,app_accepted,origin_delivered,duplicate_deliveries,q0_generated,q0_accepted,q0_delivered,q1_generated,q1_accepted,q1_delivered,delivery_pct,payload_delivered_bytes,origin_wire_bytes,wire_efficiency_pct,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,frames_tx,frames_rx,forwarded_frames_tx,control_frames_tx,business_frames_tx,wire_bytes_tx,wire_bytes_rx,no_space,no_route,link_down,other_rejected,core_tx_sent,core_rx_delivered,route_requests_sent,route_errors_sent,control_budget_dropped,host_work_us,node_storage_bytes
1,3,3,0,0,0,0,0,0,0,0,0,400,400,400,10,0,0,0,400,400,400,100.000000,12800,26320,48.632219,10,10,10,10,418,1326,0,18,400,26320,84384,0,0,0,0,418,1216,0,0,0,812,8136
2,4,4,0,0,0,0,0,0,0,0,0,400,400,400,7,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1763,0,24,400,26560,112184,0,0,0,0,424,1638,0,0,0,913,8136
3,4,4,0,0,0,0,0,0,0,0,0,400,400,400,4,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1321,0,24,400,26560,83944,0,0,0,0,424,1215,0,0,0,698,8136
4,4,4,0,0,0,0,0,0,0,0,0,400,400,400,5,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1309,0,24,400,26560,83200,0,0,0,0,424,1212,0,0,0,669,8136
5,4,4,0,0,0,0,0,0,0,0,0,400,400,400,9,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1318,0,24,400,26560,83704,0,0,0,0,424,1213,0,0,0,671,8136
6,4,4,0,0,0,0,0,0,0,0,0,400,400,400,10,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1322,0,24,400,26560,84008,0,0,0,0,424,1214,0,0,0,678,8136
7,4,4,0,0,0,0,0,0,0,0,0,400,400,400,9,0,0,0,400,400,400,100.000000,12800,26600,48.120301,10,10,10,10,425,1336,0,25,400,26600,84904,0,0,0,0,425,1217,0,0,0,710,8136
8,4,4,0,0,0,0,0,0,0,0,0,400,400,400,6,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1306,0,24,400,26560,82912,0,0,0,0,424,1208,0,0,0,681,8136
9,4,4,0,0,0,0,0,0,0,0,0,400,400,400,8,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1325,0,24,400,26560,84176,0,0,0,0,424,1212,0,0,0,661,8136
10,4,4,0,0,0,0,0,0,0,0,0,400,400,400,1,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1321,0,24,400,26560,83944,0,0,0,0,424,1215,0,0,0,680,8136
11,4,4,0,0,0,0,0,0,0,0,0,400,400,400,4,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1316,0,24,400,26560,83504,0,0,0,0,424,1210,0,0,0,665,8136
12,4,4,0,0,0,0,0,0,0,0,0,400,400,400,3,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1323,0,24,400,26560,84048,0,0,0,0,424,1215,0,0,0,655,8136
13,4,4,0,0,0,0,0,0,0,0,0,400,400,400,5,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1321,0,24,400,26560,83944,0,0,0,0,424,1207,0,0,0,658,8136
14,4,4,0,0,0,0,0,0,0,0,0,400,400,400,6,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1316,0,24,400,26560,83624,0,0,0,0,424,1207,0,0,0,655,8136
15,4,4,0,0,0,0,0,0,0,0,0,400,400,400,3,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1318,0,24,400,26560,83704,0,0,0,0,424,1211,0,0,0,649,8136
16,4,4,0,0,0,0,0,0,0,0,0,400,400,400,4,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1323,0,24,400,26560,84072,0,0,0,0,424,1218,0,0,0,659,8136
17,4,4,0,0,0,0,0,0,0,0,0,400,400,400,3,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1321,0,24,400,26560,83944,0,0,0,0,424,1217,0,0,0,653,8136
18,4,4,0,0,0,0,0,0,0,0,0,400,400,400,6,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1312,0,24,400,26560,83320,0,0,0,0,424,1213,0,0,0,640,8136
19,4,4,0,0,0,0,0,0,0,0,0,400,400,400,5,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1323,0,24,400,26560,84048,0,0,0,0,424,1212,0,0,0,658,8136
20,4,4,0,0,0,0,0,0,0,0,0,400,400,400,8,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1328,0,24,400,26560,84416,0,0,0,0,424,1214,0,0,0,666,8136
21,4,4,0,0,0,0,0,0,0,0,0,400,400,400,6,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1322,0,24,400,26560,83984,0,0,0,0,424,1212,0,0,0,664,8136
22,4,4,0,0,0,0,0,0,0,0,0,400,400,400,3,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1317,0,24,400,26560,83712,0,0,0,0,424,1208,0,0,0,662,8136
23,4,4,0,0,0,0,0,0,0,0,0,400,400,400,1,0,0,0,400,400,400,100.000000,12800,26600,48.120301,10,10,10,10,425,1321,0,25,400,26600,83920,0,0,0,0,425,1209,0,0,0,649,8136
24,4,4,0,0,0,0,0,0,0,0,0,400,400,400,3,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1321,0,24,400,26560,83896,0,0,0,0,424,1211,0,0,0,676,8136
25,4,4,0,0,0,0,0,0,0,0,0,400,400,400,4,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1321,0,24,400,26560,83896,0,0,0,0,424,1210,0,0,0,661,8136
26,4,4,0,0,0,0,0,0,0,0,0,400,400,400,8,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1324,0,24,400,26560,84088,0,0,0,0,424,1212,0,0,0,652,8136
27,4,4,0,0,0,0,0,0,0,0,0,400,400,400,2,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1337,0,24,400,26560,84920,0,0,0,0,424,1220,0,0,0,665,8136
