node_id,degree,admitted,routes_current,routes_hwm,discoveries_hwm,candidates_hwm,q0_hwm,q1_hwm,pending_q1_hwm,paths_hwm,flows_hwm,app_generated,app_accepted,origin_delivered,duplicate_deliveries,q0_generated,q0_accepted,q0_delivered,q1_generated,q1_accepted,q1_delivered,delivery_pct,payload_delivered_bytes,origin_wire_bytes,wire_efficiency_pct,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,frames_tx,frames_rx,forwarded_frames_tx,control_frames_tx,business_frames_tx,wire_bytes_tx,wire_bytes_rx,no_space,no_route,link_down,other_rejected,core_tx_sent,core_rx_delivered,route_requests_sent,route_errors_sent,control_budget_dropped,host_work_us,node_storage_bytes
1,3,3,0,0,0,0,0,0,0,0,0,400,400,396,0,0,0,0,400,400,396,99.000000,12672,26320,48.145897,10,10,10,10,418,1186,0,18,400,26320,75472,0,0,0,0,418,1168,0,0,0,817,8136
2,4,4,0,0,0,0,0,0,0,0,0,400,400,388,0,0,0,0,400,400,388,97.000000,12416,26560,46.746988,10,10,10,10,424,1577,0,24,400,26560,100376,0,0,0,0,424,1554,0,0,0,929,8136
3,4,4,0,0,0,0,0,0,0,0,0,400,400,392,0,0,0,0,400,400,392,98.000000,12544,26560,47.228916,10,10,10,10,424,1192,0,24,400,26560,75712,0,0,0,0,424,1168,0,0,0,674,8136
4,4,4,0,0,0,0,0,0,0,0,0,400,400,388,0,0,0,0,400,400,388,97.000000,12416,26560,46.746988,10,10,10,10,424,1198,0,24,400,26560,76096,0,0,0,0,424,1174,0,0,0,680,8136
5,4,4,0,0,0,0,0,0,0,0,0,400,400,386,0,0,0,0,400,400,386,96.500000,12352,26560,46.506024,10,10,10,10,424,1188,0,24,400,26560,75456,0,0,0,0,424,1164,0,0,0,654,8136
6,4,4,0,0,0,0,0,0,0,0,0,400,400,387,0,0,0,0,400,400,387,96.750000,12384,26560,46.626506,10,10,10,10,424,1202,0,24,400,26560,76400,0,0,0,0,424,1180,0,0,0,645,8136
7,4,4,0,0,0,0,0,0,0,0,0,400,400,385,0,0,0,0,400,400,385,96.250000,12320,26520,46.455505,10,10,10,10,423,1200,0,23,400,26520,76248,0,0,0,0,423,1177,0,0,0,670,8136
8,4,4,0,0,0,0,0,0,0,0,0,400,400,388,0,0,0,0,400,400,388,97.000000,12416,26560,46.746988,10,10,10,10,424,1197,0,24,400,26560,76056,0,0,0,0,424,1174,0,0,0,662,8136
9,4,4,0,0,0,0,0,0,0,0,0,400,400,390,0,0,0,0,400,400,390,97.500000,12480,26560,46.987952,10,10,10,10,424,1204,0,24,400,26560,76480,0,0,0,0,424,1180,0,0,0,664,8136
10,4,4,0,0,0,0,0,0,0,0,0,400,400,390,0,0,0,0,400,400,390,97.500000,12480,26560,46.987952,10,10,10,10,424,1186,0,24,400,26560,75328,0,0,0,0,424,1162,0,0,0,647,8136
