node_id,degree,admitted,routes_current,routes_hwm,discoveries_hwm,candidates_hwm,q0_hwm,q1_hwm,pending_q1_hwm,paths_hwm,flows_hwm,app_generated,app_accepted,origin_delivered,duplicate_deliveries,q0_generated,q0_accepted,q0_delivered,q1_generated,q1_accepted,q1_delivered,delivery_pct,payload_delivered_bytes,origin_wire_bytes,wire_efficiency_pct,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,frames_tx,frames_rx,forwarded_frames_tx,control_frames_tx,business_frames_tx,wire_bytes_tx,wire_bytes_rx,no_space,no_route,link_down,other_rejected,core_tx_sent,core_rx_delivered,route_requests_sent,route_errors_sent,control_budget_dropped,host_work_us,node_storage_bytes
1,3,3,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26160,48.929664,10,10,10,10,414,1206,0,14,400,26160,77040,0,0,0,0,406,1200,0,0,60,590,8136
2,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26240,48.780488,10,10,10,10,416,1608,0,16,400,26240,102720,0,0,0,0,408,1600,0,0,69,732,8136
3,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26240,48.780488,10,10,10,10,416,1208,0,16,400,26240,77120,0,0,0,0,408,1200,0,0,69,538,8136
4,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26240,48.780488,10,10,10,10,416,1208,0,16,400,26240,77120,0,0,0,0,408,1200,0,0,69,542,8136
5,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26240,48.780488,10,10,10,10,416,1208,0,16,400,26240,77120,0,0,0,0,408,1200,0,0,69,536,8136
6,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26240,48.780488,10,10,10,10,416,1208,0,16,400,26240,77120,0,0,0,0,408,1200,0,0,69,531,8136
7,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26240,48.780488,10,10,10,10,416,1208,0,16,400,26240,77120,0,0,0,0,408,1200,0,0,69,536,8136
8,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26240,48.780488,10,10,10,10,416,1208,0,16,400,26240,77120,0,0,0,0,408,1200,0,0,69,526,8136
9,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26240,48.780488,10,10,10,10,416,1208,0,16,400,26240,77120,0,0,0,0,408,1200,0,0,69,527,8136
10,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26240,48.780488,10,10,10,10,416,1208,0,16,400,26240,77120,0,0,0,0,408,1200,0,0,69,517,8136
11,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26240,48.780488,10,10,10,10,416,1208,0,16,400,26240,77120,0,0,0,0,408,1200,0,0,69,531,8136
12,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26240,48.780488,10,10,10,10,416,1208,0,16,400,26240,77120,0,0,0,0,408,1200,0,0,69,523,8136
13,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26240,48.780488,10,10,10,10,416,1208,0,16,400,26240,77120,0,0,0,0,408,1200,0,0,69,526,8136
14,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26240,48.780488,10,10,10,10,416,1208,0,16,400,26240,77120,0,0,0,0,408,1200,0,0,69,541,8136
15,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26240,48.780488,10,10,10,10,416,1208,0,16,400,26240,77120,0,0,0,0,408,1200,0,0,69,528,8136
16,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26240,48.780488,10,10,10,10,416,1208,0,16,400,26240,77120,0,0,0,0,408,1200,0,0,69,524,8136
