node_id,degree,admitted,routes_current,routes_hwm,discoveries_hwm,candidates_hwm,q0_hwm,q1_hwm,pending_q1_hwm,paths_hwm,flows_hwm,app_generated,app_accepted,origin_delivered,duplicate_deliveries,q0_generated,q0_accepted,q0_delivered,q1_generated,q1_accepted,q1_delivered,delivery_pct,payload_delivered_bytes,origin_wire_bytes,wire_efficiency_pct,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,frames_tx,frames_rx,forwarded_frames_tx,control_frames_tx,business_frames_tx,wire_bytes_tx,wire_bytes_rx,no_space,no_route,link_down,other_rejected,core_tx_sent,core_rx_delivered,route_requests_sent,route_errors_sent,control_budget_dropped,host_work_us,node_storage_bytes
1,3,3,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,11360,14.084507,10,10,10,10,424,1224,300,24,400,21760,63360,0,0,0,0,424,500,0,0,0,739,8136
2,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,11680,13.698630,10,10,10,10,532,1532,400,32,500,27280,79280,0,0,0,0,532,400,0,0,0,790,8136
3,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,11680,13.698630,10,10,10,10,432,1332,300,32,400,22080,68880,0,0,0,0,432,300,0,0,0,661,8136
4,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,11680,13.698630,10,10,10,10,432,1232,300,32,400,22080,63680,0,0,0,0,432,200,0,0,0,624,8136
5,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,11680,13.698630,10,10,10,10,432,1332,300,32,400,22080,68880,0,0,0,0,432,200,0,0,0,678,8136
6,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,11680,13.698630,10,10,10,10,432,1232,300,32,400,22080,63680,0,0,0,0,432,100,0,0,0,603,8136
7,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,11680,13.698630,10,10,10,10,432,1232,300,32,400,22080,63680,0,0,0,0,432,100,0,0,0,612,8136
8,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,11680,13.698630,10,10,10,10,432,1232,300,32,400,22080,63680,0,0,0,0,432,100,0,0,0,627,8136
9,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,11680,13.698630,10,10,10,10,432,1232,300,32,400,22080,63680,0,0,0,0,432,100,0,0,0,606,8136
10,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,11680,0.000000,0,0,0,0,432,1232,300,32,400,22080,63680,0,0,0,0,432,100,0,0,0,626,8136
11,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,11680,0.000000,0,0,0,0,432,1232,300,32,400,22080,63680,0,0,0,0,432,100,0,0,0,609,8136
12,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,11680,0.000000,0,0,0,0,432,1232,300,32,400,22080,63680,0,0,0,0,432,100,0,0,0,641,8136
13,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,11680,0.000000,0,0,0,0,432,1232,300,32,400,22080,63680,0,0,0,0,432,100,0,0,0,620,8136
14,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,11680,13.698630,10,10,10,10,432,1232,300,32,400,22080,63680,0,0,0,0,432,100,0,0,0,656,8136
15,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,11680,13.698630,10,10,10,10,432,1232,300,32,400,22080,63680,0,0,0,0,432,100,0,0,0,602,8136
16,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,11680,0.000000,0,0,0,0,432,1232,300,32,400,22080,63680,0,0,0,0,432,100,0,0,0,635,8136
17,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,11680,0.000000,0,0,0,0,432,1232,300,32,400,22080,63680,0,0,0,0,432,100,0,0,0,613,8136
18,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,11680,0.000000,0,0,0,0,432,1232,300,32,400,22080,63680,0,0,0,0,432,100,0,0,0,609,8136
19,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,11680,0.000000,0,0,0,0,432,1232,300,32,400,22080,63680,0,0,0,0,432,100,0,0,0,615,8136
20,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,11680,0.000000,0,0,0,0,432,1232,300,32,400,22080,63680,0,0,0,0,432,100,0,0,0,621,8136
21,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,11680,0.000000,0,0,0,0,432,1232,300,32,400,22080,63680,0,0,0,0,432,100,0,0,0,617,8136
22,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,11680,0.000000,0,0,0,0,432,1232,300,32,400,22080,63680,0,0,0,0,432,100,0,0,0,612,8136
23,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,11680,13.698630,10,10,10,10,432,1232,300,32,400,22080,63680,0,0,0,0,432,100,0,0,0,627,8136
24,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,11680,13.698630,10,10,10,10,432,1232,300,32,400,22080,63680,0,0,0,0,432,100,0,0,0,609,8136
25,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,11680,0.000000,0,0,0,0,432,1232,300,32,400,22080,63680,0,0,0,0,432,100,0,0,0,617,8136
26,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,11680,0.000000,0,0,0,0,432,1232,300,32,400,22080,63680,0,0,0,0,432,100,0,0,0,605,8136
27,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,11680,0.000000,0,0,0,0,432,1232,300,32,400,22080,63680,0,0,0,0,432,100,0,0,0,603,8136
28,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,11680,0.000000,0,0,0,0,432,1232,300,32,400,22080,63680,0,0,0,0,432,100,0,0,0,602,8136
29,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,11680,0.000000,0,0,0,0,432,332,300,32,400,22080,16880,0,0,0,0,432,0,0,0,0,301,8136
30,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,11680,0.000000,0,0,0,0,432,332,300,32,400,22080,16880,0,0,0,0,432,0,0,0,0,301,8136
31,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,11680,0.000000,0,0,0,0,432,332,300,32,400,22080,16880,0,0,0,0,432,0,0,0,0,303,8136
32,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,11680,13.698630,10,10,10,10,432,332,300,32,400,22080,16880,0,0,0,0,432,0,0,0,0,325,8136
33,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,11680,13.698630,10,10,10,10,432,332,300,32,400,22080,16880,0,0,0,0,432,0,0,0,0,302,8136
34,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,11680,0.000000,0,0,0,0,432,332,300,32,400,22080,16880,0,0,0,0,432,0,0,0,0,305,8136
35,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,11680,0.000000,0,0,0,0,432,332,300,32,400,22080,16880,0,0,0,0,432,0,0,0,0,309,8136
36,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,11680,0.000000,0,0,0,0,432,332,300,32,400,22080,16880,0,0,0,0,432,0,0,0,0,302,8136
37,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,11680,0.000000,0,0,0,0,432,332,300,32,400,22080,16880,0,0,0,0,432,0,0,0,0,298,8136
38,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,11680,0.000000,0,0,0,0,432,332,300,32,400,22080,16880,0,0,0,0,432,0,0,0,0,306,8136
39,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,11680,0.000000,0,0,0,0,432,332,300,32,400,22080,16880,0,0,0,0,432,0,0,0,0,303,8136
40,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,11680,0.000000,0,0,0,0,432,332,300,32,400,22080,16880,0,0,0,0,432,0,0,0,0,303,8136
41,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,11680,13.698630,10,10,10,10,432,332,300,32,400,22080,16880,0,0,0,0,432,0,0,0,0,299,8136
42,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,11680,0.000000,0,0,0,0,432,332,300,32,400,22080,16880,0,0,0,0,432,0,0,0,0,301,8136
43,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,11680,0.000000,0,0,0,0,432,332,300,32,400,22080,16880,0,0,0,0,432,0,0,0,0,296,8136
44,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,11680,0.000000,0,0,0,0,432,332,300,32,400,22080,16880,0,0,0,0,432,0,0,0,0,299,8136
45,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,11680,0.000000,0,0,0,0,432,332,300,32,400,22080,16880,0,0,0,0,432,0,0,0,0,298,8136
46,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,11680,0.000000,0,0,0,0,432,332,300,32,400,22080,16880,0,0,0,0,432,0,0,0,0,314,8136
