node_id,degree,admitted,routes_current,routes_hwm,discoveries_hwm,candidates_hwm,q0_hwm,q1_hwm,pending_q1_hwm,paths_hwm,flows_hwm,app_generated,app_accepted,origin_delivered,duplicate_deliveries,q0_generated,q0_accepted,q0_delivered,q1_generated,q1_accepted,q1_delivered,delivery_pct,payload_delivered_bytes,origin_wire_bytes,wire_efficiency_pct,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,frames_tx,frames_rx,forwarded_frames_tx,control_frames_tx,business_frames_tx,wire_bytes_tx,wire_bytes_rx,no_space,no_route,link_down,other_rejected,core_tx_sent,core_rx_delivered,route_requests_sent,route_errors_sent,control_budget_dropped,host_work_us,node_storage_bytes
1,3,3,8,8,4,0,0,0,4,0,0,100,35,12,0,0,0,0,100,35,12,34.285714,192,4856,3.953871,10,10,10,10,179,198,97,76,103,8814,9602,65,0,0,0,179,9,9,0,12,187,8136
2,4,4,8,8,4,0,0,0,4,0,0,100,36,32,0,0,0,0,100,36,32,88.888889,512,6072,8.432148,10,10,10,10,253,313,153,132,121,12362,15364,64,0,0,0,253,28,9,0,5,250,8136
3,4,4,8,8,4,0,0,0,4,0,0,100,35,31,0,0,0,0,100,35,31,88.571429,496,8080,6.138614,10,10,10,10,223,297,124,122,101,10840,14522,65,0,0,0,223,29,9,0,9,230,8136
4,4,4,8,8,4,0,0,0,4,0,0,100,34,30,0,0,0,0,100,34,30,88.235294,480,6492,7.393715,10,10,10,10,252,195,148,173,79,12072,9496,66,0,0,0,252,31,9,6,7,207,8136
5,4,4,8,8,4,0,0,0,4,0,0,100,30,23,0,0,0,0,100,30,23,76.666667,368,5874,6.264896,10,10,10,10,265,180,165,191,74,12702,8752,70,0,0,0,265,23,9,5,7,203,8136
6,4,4,8,8,4,0,0,0,4,0,0,100,29,22,0,0,0,0,100,29,22,75.862069,352,7156,4.918949,10,10,10,10,241,171,147,177,64,11556,8260,71,0,0,0,241,24,9,1,12,189,8136
7,4,4,8,8,4,0,0,0,4,0,0,100,28,18,0,0,0,0,100,28,18,64.285714,288,7448,3.866810,10,10,10,10,238,172,142,175,63,11374,8310,72,0,0,0,238,21,9,4,7,199,8136
8,4,4,7,7,4,0,0,0,4,0,0,100,27,20,0,0,0,0,100,27,20,74.074074,320,5256,6.088280,10,10,10,10,267,176,171,190,77,12808,8556,73,0,0,0,267,19,9,5,7,209,8136
9,4,4,8,8,4,0,0,0,4,0,0,100,29,22,0,0,0,0,100,29,22,75.862069,352,6112,5.759162,10,10,10,10,244,164,151,179,65,11716,7904,71,0,0,0,244,23,9,0,7,190,8136
10,4,4,8,8,4,0,0,0,4,0,0,100,28,18,0,0,0,0,100,28,18,64.285714,288,6956,4.140311,10,10,10,10,237,164,144,171,66,11372,7908,72,0,0,0,237,21,9,1,7,194,8136
11,2,2,6,8,4,0,0,0,4,0,0,100,25,14,0,0,0,0,100,25,14,56.000000,224,4740,4.725738,10,10,10,10,105,100,45,60,45,5068,4800,75,0,0,0,105,13,11,1,5,117,8136
12,1,1,5,7,4,0,0,0,4,0,0,100,22,13,0,0,0,0,100,22,13,59.090909,208,4404,4.722979,10,10,10,10,38,55,0,20,18,1832,2604,78,0,0,0,38,13,12,0,4,73,8136
13,1,1,5,7,4,0,0,0,4,0,0,100,21,12,0,0,0,0,100,21,12,57.142857,192,4396,4.367607,10,10,10,10,37,56,0,20,17,1780,2656,79,0,0,0,37,14,12,0,4,72,8136
14,1,1,5,6,4,0,0,0,4,0,0,100,22,14,0,0,0,0,100,22,14,63.636364,224,4300,5.209302,10,10,10,10,38,59,0,20,18,1832,2804,78,0,0,0,38,12,12,0,4,73,8136
15,1,1,5,6,4,0,0,0,4,0,0,100,21,13,0,0,0,0,100,21,13,61.904762,208,4484,4.638715,10,10,10,10,37,60,0,20,17,1780,2856,79,0,0,0,37,13,12,0,4,72,8136
16,1,1,5,6,4,0,0,0,4,0,0,100,22,12,0,0,0,0,100,22,12,54.545455,192,4772,4.023470,10,10,10,10,38,63,0,20,18,1832,2980,78,0,0,0,38,14,12,0,4,76,8136
17,1,1,5,5,4,0,0,0,4,0,0,100,21,11,0,0,0,0,100,21,11,52.380952,176,4104,4.288499,10,10,10,10,37,52,0,20,17,1780,2468,79,0,0,0,37,9,12,0,4,70,8136
18,1,1,5,5,4,0,0,0,4,0,0,100,20,10,0,0,0,0,100,20,10,50.000000,160,4000,4.000000,10,10,10,10,36,53,0,20,16,1728,2520,80,0,0,0,36,10,12,0,4,68,8136
19,1,1,5,6,4,0,0,0,4,0,0,100,20,9,0,0,0,0,100,20,9,45.000000,144,3948,3.647416,10,10,10,10,36,55,0,20,16,1728,2608,80,0,0,0,36,11,12,0,4,67,8136
20,1,1,5,6,4,0,0,0,4,0,0,100,22,11,0,0,0,0,100,22,11,50.000000,176,4256,4.135338,10,10,10,10,39,51,0,21,18,1882,2408,78,0,0,0,39,9,12,0,4,70,8136
21,1,1,5,6,4,0,0,0,4,0,0,100,21,10,0,0,0,0,100,21,10,47.619048,160,4052,3.948667,10,10,10,10,37,52,0,20,17,1780,2460,79,0,0,0,37,10,12,0,4,68,8136
22,1,1,5,7,4,0,0,0,4,0,0,100,21,9,0,0,0,0,100,21,9,42.857143,144,4000,3.600000,10,10,10,10,37,54,0,20,17,1780,2548,79,0,0,0,37,11,12,0,4,68,8136
23,1,1,5,6,4,0,0,0,4,0,0,100,22,17,0,0,0,0,100,22,17,77.272727,272,4300,6.325581,10,10,10,10,38,65,0,20,18,1832,3116,78,0,0,0,38,15,12,0,4,75,8136
24,1,1,5,6,4,0,0,0,4,0,0,100,21,13,0,0,0,0,100,21,13,61.904762,208,4484,4.638715,10,10,10,10,37,60,0,20,17,1780,2856,79,0,0,0,37,13,12,0,4,69,8136
25,1,1,5,6,4,0,0,0,4,0,0,100,22,12,0,0,0,0,100,22,12,54.545455,192,4772,4.023470,10,10,10,10,38,63,0,20,18,1832,2980,78,0,0,0,38,14,12,0,4,73,8136
26,1,1,5,5,4,0,0,0,4,0,0,100,21,11,0,0,0,0,100,21,11,52.380952,176,4104,4.288499,10,10,10,10,37,53,0,20,17,1780,2516,79,0,0,0,37,9,12,0,4,69,8136
27,1,1,5,5,4,0,0,0,4,0,0,100,20,10,0,0,0,0,100,20,10,50.000000,160,4000,4.000000,10,10,10,10,36,54,0,20,16,1728,2568,80,0,0,0,36,10,12,0,4,67,8136
28,1,1,5,5,4,0,0,0,4,0,0,100,20,9,0,0,0,0,100,20,9,45.000000,144,4000,3.600000,10,10,10,10,36,55,0,20,16,1728,2620,80,0,0,0,36,11,12,0,4,67,8136
29,1,1,5,5,4,0,0,0,4,0,0,100,22,11,0,0,0,0,100,22,11,50.000000,176,4208,4.182510,10,10,10,10,38,50,0,20,18,1832,2372,78,0,0,0,38,9,12,0,4,69,8136
30,1,1,5,5,4,0,0,0,4,0,0,100,21,10,0,0,0,0,100,21,10,47.619048,160,4104,3.898635,10,10,10,10,37,51,0,20,17,1780,2424,79,0,0,0,37,10,12,0,4,67,8136
31,1,1,5,6,4,0,0,0,4,0,0,100,21,9,0,0,0,0,100,21,9,42.857143,144,4052,3.553801,10,10,10,10,37,53,0,20,17,1780,2512,79,0,0,0,37,11,12,0,4,69,8136
