node_id,degree,admitted,routes_current,routes_hwm,discoveries_hwm,candidates_hwm,q0_hwm,q1_hwm,pending_q1_hwm,paths_hwm,flows_hwm,app_generated,app_accepted,origin_delivered,duplicate_deliveries,q0_generated,q0_accepted,q0_delivered,q1_generated,q1_accepted,q1_delivered,delivery_pct,payload_delivered_bytes,origin_wire_bytes,wire_efficiency_pct,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,frames_tx,frames_rx,forwarded_frames_tx,control_frames_tx,business_frames_tx,wire_bytes_tx,wire_bytes_rx,no_space,no_route,link_down,other_rejected,core_tx_sent,core_rx_delivered,route_requests_sent,route_errors_sent,control_budget_dropped,host_work_us,node_storage_bytes
1,3,3,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,6760,23.668639,10,10,10,10,144,392,0,44,100,6760,18624,0,0,0,0,144,300,0,0,0,226,8136
2,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,6080,26.315789,10,10,10,10,192,231,60,92,100,8960,10846,0,0,0,0,192,100,0,0,0,186,8136
3,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,6080,26.315789,10,10,10,10,204,156,72,104,100,9536,7246,0,0,0,0,204,0,0,0,0,156,8136
4,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,6080,26.315789,10,10,10,10,204,155,72,104,100,9536,7196,0,0,0,0,204,0,0,0,0,151,8136
5,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,8048,0.000000,0,0,0,0,149,161,81,149,0,6896,7472,10,0,0,0,149,0,9,0,10,161,8136
6,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,7472,0.000000,0,0,0,0,146,162,78,146,0,6752,7520,10,0,0,0,146,0,9,0,10,166,8136
7,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,6464,0.000000,0,0,0,0,161,135,93,161,0,7472,6224,10,0,0,0,161,0,9,0,10,157,8136
8,4,4,7,7,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,5168,0.000000,0,0,0,0,188,76,120,188,0,8768,3392,10,0,0,0,188,0,9,0,10,152,8136
9,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,4592,0.000000,0,0,0,0,188,77,120,188,0,8768,3440,10,0,0,0,188,0,9,0,10,148,8136
10,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,4160,0.000000,0,0,0,0,188,81,120,188,0,8768,3632,10,0,0,0,188,0,9,0,10,150,8136
11,4,4,7,7,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,5168,0.000000,0,0,0,0,188,76,120,188,0,8768,3392,10,0,0,0,188,0,9,0,10,149,8136
12,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,4592,0.000000,0,0,0,0,188,77,120,188,0,8768,3440,10,0,0,0,188,0,9,0,10,141,8136
13,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,4160,0.000000,0,0,0,0,188,81,120,188,0,8768,3632,10,0,0,0,188,0,9,0,10,143,8136
14,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,4160,0.000000,0,0,0,0,185,88,117,185,0,8624,3968,10,0,0,0,185,0,9,0,10,148,8136
15,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,4160,0.000000,0,0,0,0,185,93,117,185,0,8624,4208,10,0,0,0,185,0,9,0,10,145,8136
16,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,4160,0.000000,0,0,0,0,185,93,117,185,0,8624,4208,10,0,0,0,185,0,9,0,10,146,8136
17,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,4160,0.000000,0,0,0,0,185,87,117,185,0,8624,3920,10,0,0,0,185,0,9,0,10,144,8136
18,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,4160,0.000000,0,0,0,0,185,92,117,185,0,8624,4160,10,0,0,0,185,0,9,0,10,146,8136
19,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,4016,0.000000,0,0,0,0,185,92,117,185,0,8624,4160,10,0,0,0,185,0,9,0,10,144,8136
20,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,3872,0.000000,0,0,0,0,188,92,120,188,0,8768,4160,10,0,0,0,188,0,9,0,10,147,8136
21,4,4,8,8,1,0,0,0,4,0,0,100,90,0,0,0,0,0,100,90,0,0.000000,0,3872,0.000000,0,0,0,0,188,97,120,188,0,8768,4400,10,0,0,0,188,0,9,0,10,149,8136
22,1,1,6,6,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,2816,0.000000,0,0,0,0,18,38,0,18,0,800,1760,0,0,0,0,18,0,10,0,0,70,8136
23,1,1,5,5,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,3248,0.000000,0,0,0,0,18,47,0,18,0,800,2192,0,0,0,0,18,0,10,0,0,68,8136
24,1,1,5,5,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,2672,0.000000,0,0,0,0,18,47,0,18,0,800,2192,0,0,0,0,18,0,10,0,0,71,8136
25,1,1,5,5,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,2672,0.000000,0,0,0,0,18,47,0,18,0,800,2192,0,0,0,0,18,0,10,0,0,65,8136
26,1,1,5,5,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,2960,0.000000,0,0,0,0,18,47,0,18,0,800,2192,0,0,0,0,18,0,10,0,0,63,8136
27,1,1,5,5,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,2528,0.000000,0,0,0,0,18,47,0,18,0,800,2192,0,0,0,0,18,0,10,0,0,66,8136
28,1,1,5,5,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,2240,0.000000,0,0,0,0,18,47,0,18,0,800,2192,0,0,0,0,18,0,10,0,0,66,8136
29,1,1,5,5,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,2240,0.000000,0,0,0,0,18,47,0,18,0,800,2192,0,0,0,0,18,0,10,0,0,64,8136
30,1,1,5,5,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,2240,0.000000,0,0,0,0,18,47,0,18,0,800,2192,0,0,0,0,18,0,10,0,0,64,8136
31,1,1,5,5,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,2240,0.000000,0,0,0,0,18,47,0,18,0,800,2192,0,0,0,0,18,0,10,0,0,65,8136
32,1,1,5,5,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,3248,0.000000,0,0,0,0,18,47,0,18,0,800,2192,0,0,0,0,18,0,10,0,0,66,8136
33,1,1,5,5,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,2672,0.000000,0,0,0,0,18,47,0,18,0,800,2192,0,0,0,0,18,0,10,0,0,69,8136
34,1,1,5,5,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,2672,0.000000,0,0,0,0,18,47,0,18,0,800,2192,0,0,0,0,18,0,10,0,0,65,8136
35,1,1,5,5,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,2960,0.000000,0,0,0,0,18,47,0,18,0,800,2192,0,0,0,0,18,0,10,0,0,69,8136
36,1,1,5,5,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,2528,0.000000,0,0,0,0,18,47,0,18,0,800,2192,0,0,0,0,18,0,10,0,0,66,8136
37,1,1,5,5,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,2240,0.000000,0,0,0,0,18,47,0,18,0,800,2192,0,0,0,0,18,0,10,0,0,69,8136
38,1,1,5,5,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,2240,0.000000,0,0,0,0,18,47,0,18,0,800,2192,0,0,0,0,18,0,10,0,0,64,8136
39,1,1,5,5,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,2240,0.000000,0,0,0,0,18,47,0,18,0,800,2192,0,0,0,0,18,0,10,0,0,64,8136
40,1,1,5,5,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,2240,0.000000,0,0,0,0,18,47,0,18,0,800,2192,0,0,0,0,18,0,10,0,0,65,8136
41,1,1,5,5,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,2672,0.000000,0,0,0,0,18,46,0,18,0,800,2144,0,0,0,0,18,0,10,0,0,65,8136
42,1,1,5,5,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,2384,0.000000,0,0,0,0,18,46,0,18,0,800,2144,0,0,0,0,18,0,10,0,0,65,8136
43,1,1,5,5,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,2384,0.000000,0,0,0,0,18,46,0,18,0,800,2144,0,0,0,0,18,0,10,0,0,69,8136
44,1,1,5,5,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,2240,0.000000,0,0,0,0,18,46,0,18,0,800,2144,0,0,0,0,18,0,10,0,0,67,8136
45,1,1,5,5,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,2240,0.000000,0,0,0,0,18,46,0,18,0,800,2144,0,0,0,0,18,0,10,0,0,63,8136
46,1,1,5,5,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,2240,0.000000,0,0,0,0,18,46,0,18,0,800,2144,0,0,0,0,18,0,10,0,0,67,8136
47,1,1,5,5,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,2240,0.000000,0,0,0,0,18,46,0,18,0,800,2144,0,0,0,0,18,0,10,0,0,63,8136
48,1,1,5,5,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,2240,0.000000,0,0,0,0,18,46,0,18,0,800,2144,0,0,0,0,18,0,10,0,0,65,8136
49,1,1,5,5,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,2240,0.000000,0,0,0,0,18,46,0,18,0,800,2144,0,0,0,0,18,0,10,0,0,63,8136
50,1,1,5,5,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,2672,0.000000,0,0,0,0,18,46,0,18,0,800,2144,0,0,0,0,18,0,10,0,0,68,8136
51,1,1,5,5,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,2384,0.000000,0,0,0,0,18,46,0,18,0,800,2144,0,0,0,0,18,0,10,0,0,67,8136
52,1,1,5,5,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,2384,0.000000,0,0,0,0,18,46,0,18,0,800,2144,0,0,0,0,18,0,10,0,0,64,8136
53,1,1,5,5,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,2240,0.000000,0,0,0,0,18,46,0,18,0,800,2144,0,0,0,0,18,0,10,0,0,65,8136
54,1,1,5,5,1,0,0,0,4,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,2240,0.000000,0,0,0,0,18,46,0,18,0,800,2144,0,0,0,0,18,0,10,0,0,64,8136
