"status","profile","topology","traffic","nodes","ticks","step_ms","messages_per_node","payload_bytes","warmup_ticks","warmup_batch","loss_per_mille","duplicate_per_mille","max_delay_ms","flap_every_ticks","generated","accepted","delivered","q0_generated","q0_accepted","q0_delivered","q1_generated","q1_accepted","q1_delivered","delivery_pct","payload_delivered_bytes","wire_bytes","wire_efficiency_pct","latency_p95_ms","latency_p99_ms","fairness","control_frames","forwarded_frames","no_space","no_route","link_down","event_hwm","event_capacity","simulator_backpressure","duplicate_business","route_loop","node_storage_bytes","total_node_storage_bytes","host_allocated_bytes","host_work_ms","wall_elapsed_ms"
"PASS","FULL","tree","local","8","100","10","1","16","20","0","0","0","0","0","800","800","800","0","0","0","800","800","800","100.000000","12800","40640","31.496063","10","10","1.000000000","56","0","0","0","0","16","512","0","0","0","8136","65088","294761","0","0"
"PASS","FULL","tree","local","16","100","10","1","16","20","0","0","0","0","0","1600","1600","1600","0","0","0","1600","1600","1600","100.000000","25600","81600","31.372549","10","10","1.000000000","120","0","0","0","0","32","1024","0","0","0","8136","130176","589521","0","1"
"PASS","FULL","tree","local","32","100","10","1","16","20","0","0","0","0","0","3200","3200","3200","0","0","0","3200","3200","3200","100.000000","51200","163520","31.311155","10","10","1.000000000","248","0","0","0","0","64","2048","0","0","0","8136","260352","1179041","1","3"
"PASS","FULL","tree","local","64","100","10","1","16","20","0","0","0","0","0","6400","6400","6400","0","0","0","6400","6400","6400","100.000000","102400","327360","31.280547","10","10","1.000000000","504","0","0","0","0","128","4096","0","0","0","8136","520704","2358081","3","7"
"PASS","FULL","tree","local","128","100","10","1","16","20","0","0","0","0","0","12800","12800","12800","0","0","0","12800","12800","12800","100.000000","204800","655040","31.265266","10","10","1.000000000","1016","0","0","0","0","256","8192","0","0","0","8136","1041408","4716161","8","15"
"PASS","FULL","tree","local","256","100","10","1","16","20","0","0","0","0","0","25600","25600","25600","0","0","0","25600","25600","25600","100.000000","409600","1310400","31.257631","10","10","1.000000000","2040","0","0","0","0","512","16384","0","0","0","8136","2082816","9432321","16","32"
"PASS","FULL","tree","local","512","100","10","1","16","20","0","0","0","0","0","51200","51200","51200","0","0","0","51200","51200","51200","100.000000","819200","2621120","31.253815","10","10","1.000000000","4088","0","0","0","0","1024","32768","0","0","0","8136","4165632","18864641","36","72"
"PASS","FULL","tree","local","1024","100","10","1","16","20","0","0","0","0","0","102400","102400","102400","0","0","0","102400","102400","102400","100.000000","1638400","5242560","31.251907","10","10","1.000000000","8184","0","0","0","0","2048","65536","0","0","0","8136","8331264","37729281","87","162"
"PASS","FULL","tree","local","2048","100","10","1","16","20","0","0","0","0","0","204800","204800","204800","0","0","0","204800","204800","204800","100.000000","3276800","10485440","31.250954","10","10","1.000000000","16376","0","0","0","0","4096","131072","0","0","0","8136","16662528","75458561","274","488"
"PASS","FULL","tree","local","4096","100","10","1","16","20","0","0","0","0","0","409600","409600","409600","0","0","0","409600","409600","409600","100.000000","6553600","20971200","31.250477","10","10","1.000000000","32760","0","0","0","0","8192","262144","0","0","0","8136","33325056","150917121","701","1256"
