node_id,degree,admitted,routes_current,routes_hwm,discoveries_hwm,candidates_hwm,q0_hwm,q1_hwm,pending_q1_hwm,paths_hwm,flows_hwm,app_generated,app_accepted,origin_delivered,duplicate_deliveries,q0_generated,q0_accepted,q0_delivered,q1_generated,q1_accepted,q1_delivered,delivery_pct,payload_delivered_bytes,origin_wire_bytes,wire_efficiency_pct,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,frames_tx,frames_rx,forwarded_frames_tx,control_frames_tx,business_frames_tx,wire_bytes_tx,wire_bytes_rx,no_space,no_route,link_down,other_rejected,core_tx_sent,core_rx_delivered,route_requests_sent,route_errors_sent,control_budget_dropped,host_work_us,node_storage_bytes
1,3,3,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26320,48.632219,10,10,10,10,418,1218,0,18,400,26320,77520,0,0,0,0,418,1200,0,0,0,680,5456
2,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1624,0,24,400,26560,103360,0,0,0,0,424,1600,0,0,0,805,5456
3,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,584,5456
4,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,580,5456
5,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,571,5456
6,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,564,5456
7,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,582,5456
8,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,559,5456
9,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,576,5456
10,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,572,5456
11,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,569,5456
12,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,562,5456
13,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,588,5456
14,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,559,5456
15,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,561,5456
16,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,565,5456
17,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,564,5456
18,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,565,5456
19,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,566,5456
20,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,562,5456
21,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,553,5456
22,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,561,5456
23,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,562,5456
24,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,554,5456
25,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,564,5456
26,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,568,5456
27,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,558,5456
28,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,574,5456
29,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,567,5456
30,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,582,5456
31,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,584,5456
32,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,573,5456
33,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,562,5456
34,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,576,5456
35,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,557,5456
36,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,565,5456
37,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,613,5456
38,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,582,5456
39,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,570,5456
40,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,566,5456
41,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,574,5456
42,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,631,5456
43,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,575,5456
44,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,561,5456
45,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,558,5456
46,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,562,5456
47,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,579,5456
48,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,582,5456
49,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,568,5456
50,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,573,5456
51,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,563,5456
52,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,590,5456
53,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,570,5456
54,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,569,5456
55,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,595,5456
56,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,575,5456
57,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,563,5456
58,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,562,5456
59,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,565,5456
60,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,564,5456
61,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,556,5456
62,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,574,5456
63,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,573,5456
64,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,580,5456
65,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,573,5456
66,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,570,5456
67,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,582,5456
68,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,578,5456
69,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,565,5456
70,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,563,5456
71,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,566,5456
72,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,572,5456
73,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,562,5456
74,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,565,5456
75,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,555,5456
76,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,562,5456
77,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,572,5456
78,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,563,5456
79,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,569,5456
80,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,577,5456
81,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,571,5456
82,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,565,5456
83,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,600,5456
84,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,566,5456
85,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,567,5456
86,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,571,5456
87,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,571,5456
88,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,555,5456
89,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,552,5456
90,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,560,5456
91,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,563,5456
92,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,551,5456
93,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,553,5456
94,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,548,5456
95,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,552,5456
96,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,545,5456
97,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,556,5456
98,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,547,5456
99,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,548,5456
100,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,558,5456
101,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,553,5456
102,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,546,5456
103,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,567,5456
104,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,577,5456
105,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,569,5456
106,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,565,5456
107,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,635,5456
108,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,565,5456
109,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,593,5456
110,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,562,5456
111,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,557,5456
112,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,567,5456
113,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,554,5456
114,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26560,48.192771,10,10,10,10,424,1224,0,24,400,26560,77760,0,0,0,0,424,1200,0,0,0,597,5456
