node_id,degree,admitted,routes_current,routes_hwm,discoveries_hwm,candidates_hwm,q0_hwm,q1_hwm,pending_q1_hwm,paths_hwm,flows_hwm,app_generated,app_accepted,origin_delivered,duplicate_deliveries,q0_generated,q0_accepted,q0_delivered,q1_generated,q1_accepted,q1_delivered,delivery_pct,payload_delivered_bytes,origin_wire_bytes,wire_efficiency_pct,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,frames_tx,frames_rx,forwarded_frames_tx,control_frames_tx,business_frames_tx,wire_bytes_tx,wire_bytes_rx,no_space,no_route,link_down,other_rejected,core_tx_sent,core_rx_delivered,route_requests_sent,route_errors_sent,control_budget_dropped,host_work_us,node_storage_bytes
1,3,3,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,20512,62.402496,10,10,10,10,424,1320,0,24,400,20512,64394,0,0,0,0,424,1200,0,0,0,748,9400
2,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,20816,61.491161,10,10,10,10,432,1743,0,32,400,20816,85044,0,0,0,0,432,1600,0,0,0,786,9400
3,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,20816,61.491161,10,10,10,10,432,1342,0,32,400,20816,65395,0,0,0,0,432,1200,0,0,0,595,9400
4,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,20816,61.491161,10,10,10,10,432,1305,0,32,400,20816,63560,0,0,0,0,432,1200,0,0,0,590,9400
5,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,20816,61.491161,10,10,10,10,432,1329,0,32,400,20816,64747,0,0,0,0,432,1200,0,0,0,579,9400
6,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,20816,61.491161,10,10,10,10,432,1333,0,32,400,20816,64954,0,0,0,0,432,1200,0,0,0,565,9400
7,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,20816,61.491161,10,10,10,10,432,1335,0,32,400,20816,65052,0,0,0,0,432,1200,0,0,0,585,9400
8,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,20816,61.491161,10,10,10,10,432,1328,0,32,400,20816,64687,0,0,0,0,432,1200,0,0,0,565,9400
9,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,20816,61.491161,10,10,10,10,432,1343,0,32,400,20816,65411,0,0,0,0,432,1200,0,0,0,566,9400
10,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,20816,61.491161,10,10,10,10,432,1334,0,32,400,20816,64981,0,0,0,0,432,1200,0,0,0,566,9400
11,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,20816,61.491161,10,10,10,10,432,1330,0,32,400,20816,64785,0,0,0,0,432,1200,0,0,0,567,9400
12,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,20816,61.491161,10,10,10,10,432,1325,0,32,400,20816,64562,0,0,0,0,432,1200,0,0,0,570,9400
13,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,20816,61.491161,10,10,10,10,432,1342,0,32,400,20816,65384,0,0,0,0,432,1200,0,0,0,566,9400
14,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,20816,61.491161,10,10,10,10,432,1337,0,32,400,20816,65139,0,0,0,0,432,1200,0,0,0,556,9400
15,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,20816,61.491161,10,10,10,10,432,1344,0,32,400,20816,65493,0,0,0,0,432,1200,0,0,0,577,9400
16,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,20816,61.491161,10,10,10,10,432,1317,0,32,400,20816,64159,0,0,0,0,432,1200,0,0,0,595,9400
17,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,20816,61.491161,10,10,10,10,432,1345,0,32,400,20816,65553,0,0,0,0,432,1200,0,0,0,591,9400
18,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,20816,61.491161,10,10,10,10,432,1318,0,32,400,20816,64197,0,0,0,0,432,1200,0,0,0,561,9400
19,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,20816,61.491161,10,10,10,10,432,1341,0,32,400,20816,65313,0,0,0,0,432,1200,0,0,0,581,9400
20,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,20816,61.491161,10,10,10,10,432,1325,0,32,400,20816,64562,0,0,0,0,432,1200,0,0,0,584,9400
21,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,20816,61.491161,10,10,10,10,432,1315,0,32,400,20816,64083,0,0,0,0,432,1200,0,0,0,559,9400
22,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,20816,61.491161,10,10,10,10,432,1344,0,32,400,20816,65493,0,0,0,0,432,1200,0,0,0,567,9400
23,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,20816,61.491161,10,10,10,10,432,1326,0,32,400,20816,64589,0,0,0,0,432,1200,0,0,0,586,9400
24,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,20816,61.491161,10,10,10,10,432,1320,0,32,400,20816,64284,0,0,0,0,432,1200,0,0,0,564,9400
