node_id,degree,admitted,routes_current,routes_hwm,discoveries_hwm,candidates_hwm,q0_hwm,q1_hwm,pending_q1_hwm,paths_hwm,flows_hwm,app_generated,app_accepted,origin_delivered,duplicate_deliveries,q0_generated,q0_accepted,q0_delivered,q1_generated,q1_accepted,q1_delivered,delivery_pct,payload_delivered_bytes,origin_wire_bytes,wire_efficiency_pct,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,frames_tx,frames_rx,forwarded_frames_tx,control_frames_tx,business_frames_tx,wire_bytes_tx,wire_bytes_rx,no_space,no_route,link_down,other_rejected,core_tx_sent,core_rx_delivered,route_requests_sent,route_errors_sent,control_budget_dropped,host_work_us,node_storage_bytes
1,3,3,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,25712,49.782203,10,10,10,10,424,1320,0,24,400,25712,81216,0,0,0,0,424,1200,0,0,0,828,9400
2,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26016,49.200492,10,10,10,10,432,1743,0,32,400,26016,107274,0,0,0,0,432,1600,0,0,0,941,9400
3,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26016,49.200492,10,10,10,10,432,1342,0,32,400,26016,82412,0,0,0,0,432,1200,0,0,0,710,9400
4,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26016,49.200492,10,10,10,10,432,1305,0,32,400,26016,80070,0,0,0,0,432,1200,0,0,0,691,9400
5,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26016,49.200492,10,10,10,10,432,1329,0,32,400,26016,81582,0,0,0,0,432,1200,0,0,0,677,9400
6,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26016,49.200492,10,10,10,10,432,1333,0,32,400,26016,81854,0,0,0,0,432,1200,0,0,0,706,9400
7,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26016,49.200492,10,10,10,10,432,1335,0,32,400,26016,81978,0,0,0,0,432,1200,0,0,0,705,9400
8,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26016,49.200492,10,10,10,10,432,1328,0,32,400,26016,81496,0,0,0,0,432,1200,0,0,0,700,9400
9,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26016,49.200492,10,10,10,10,432,1343,0,32,400,26016,82402,0,0,0,0,432,1200,0,0,0,682,9400
10,4,4,0,0,0,0,0,0,0,0,0,400,400,400,0,0,0,0,400,400,400,100.000000,12800,26016,49.200492,10,10,10,10,432,1334,0,32,400,26016,81868,0,0,0,0,432,1200,0,0,0,682,9400
