"case_name","status","profile","wire_mode","wire_layout","w0_nodes","w1_nodes","w2_nodes","w3_nodes","topology","traffic","nodes","ticks","step_ms","messages_per_node","payload_bytes","warmup_ticks","warmup_batch","loss_per_mille","duplicate_per_mille","max_delay_ms","flap_every_ticks","generated","accepted","delivered","q0_generated","q0_accepted","q0_delivered","q1_generated","q1_accepted","q1_delivered","delivery_pct","payload_delivered_bytes","wire_bytes","wire_efficiency_pct","latency_p95_ms","latency_p99_ms","fairness","control_frames","forwarded_frames","no_space","no_route","link_down","event_hwm","event_capacity","simulator_backpressure","duplicate_business","route_loop","node_storage_bytes","total_node_storage_bytes","host_allocated_bytes","host_work_ms","wall_elapsed_ms"
"full_mixed_254_tree_fault_m4","PASS","FULL","fixed","mixed","64","63","64","63","tree","mixed","254","100","10","4","32","150","0","25","80","7","25","104140","102740","30371","2540","2540","735","101600","100200","29636","29.561028","971872","10801328","8.997708","20","30","0.307051452","6392","92968","1375","22","3","2457","16256","0","0","0","9400","2387600","9760205","184","322"
"full_mixed_254_tree_local_m8","PASS","FULL","fixed","mixed","64","63","64","63","tree","local","254","100","10","8","32","20","0","0","0","0","0","203200","203200","203200","0","0","0","203200","203200","203200","100.000000","6502400","11338140","57.349795","10","10","1.000000000","2024","0","0","0","0","2286","16256","0","0","0","9400","2387600","9861805","105","322"
"full_mixed_254_tree_two_hop_m1","PASS","FULL","fixed","mixed","64","63","64","63","tree","two-hop","254","100","10","1","16","150","0","0","0","0","0","25400","25400","3900","0","0","0","25400","25400","3900","15.354331","62400","2222080","2.808180","10","10","0.153543307","4048","25400","0","0","0","508","16256","0","0","0","9400","2387600","9684005","49","79"
"full_mixed_254_tree_two_hop_staged","PASS","FULL","fixed","mixed","64","63","64","63","tree","two-hop","254","100","10","1","16","508","1","0","0","0","0","25400","25348","7500","0","0","0","25400","25348","7500","29.588133","120000","1447187","8.291948","10","10","0.295275591","7575","16349","52","0","0","474","16256","0","0","0","9400","2387600","9684005","44","67"
"full_w0_254_tree_fault_m4","PASS","FULL","fixed","w0","254","0","0","0","tree","mixed","254","100","10","4","32","150","0","25","80","7","25","104140","102812","29546","2540","2540","733","101600","100272","28813","28.737891","945472","9370167","10.090236","20","30","0.301741726","6300","92404","1311","15","2","2487","16256","0","0","0","9400","2387600","9760205","165","294"
"full_w0_254_tree_local_m8","PASS","FULL","fixed","w0","254","0","0","0","tree","local","254","100","10","8","32","20","0","0","0","0","0","203200","203200","203200","0","0","0","203200","203200","203200","100.000000","6502400","10007400","64.975918","10","10","1.000000000","2024","0","0","0","0","2286","16256","0","0","0","9400","2387600","9861805","79","256"
"full_w0_254_tree_two_hop_m1","PASS","FULL","fixed","w0","254","0","0","0","tree","two-hop","254","100","10","1","16","150","0","0","0","0","0","25400","25400","3900","0","0","0","25400","25400","3900","15.354331","62400","1828400","3.412820","10","10","0.153543307","4048","25400","0","0","0","508","16256","0","0","0","9400","2387600","9684005","44","72"
"full_w0_254_tree_two_hop_staged","PASS","FULL","fixed","w0","254","0","0","0","tree","two-hop","254","100","10","1","16","508","1","0","0","0","0","25400","25348","7500","0","0","0","25400","25348","7500","29.588133","120000","1180508","10.165115","10","10","0.295275591","7629","16403","52","0","0","474","16256","0","0","0","9400","2387600","9684005","38","59"
"full_w1_1024_tree_fault_m4","PASS","FULL","fixed","w1","0","1024","0","0","tree","mixed","1024","100","10","4","32","150","0","25","80","7","25","419840","415960","119635","10240","10240","2922","409600","405720","116713","28.761179","3828320","42129231","9.087087","20","30","0.299944482","25424","377560","3855","22","3","9968","65536","0","0","0","9400","9625600","39348225","1143","2115"
"full_w1_4096_tree_local_m4","PASS","FULL","fixed","w1","0","4096","0","0","tree","local","4096","100","10","4","32","20","0","0","0","0","0","1638400","1638400","1638400","0","0","0","1638400","1638400","1638400","100.000000","52428800","87785240","59.723935","10","10","1.000000000","32760","0","0","0","0","20480","262144","0","0","0","9400","38502400","157392897","1347","3580"
"full_w1_4096_tree_two_hop_m1","PASS","FULL","fixed","w1","0","4096","0","0","tree","two-hop","4096","100","10","1","16","150","0","0","0","0","0","409600","409600","46600","0","0","0","409600","409600","46600","11.376953","745600","33848880","2.202732","10","10","0.113769531","65520","409600","0","0","0","8192","262144","0","0","0","9400","38502400","156164097","2046","3250"
"full_w2_1024_tree_fault_m4","PASS","FULL","fixed","w2","0","0","1024","0","tree","mixed","1024","100","10","4","32","150","0","25","80","7","25","419840","415960","119635","10240","10240","2922","409600","405720","116713","28.761179","3828320","46026736","8.317600","20","30","0.299944482","25424","377560","3855","22","3","9968","65536","0","0","0","9400","9625600","39348225","1199","2235"
"full_w2_4096_tree_local_m4","PASS","FULL","fixed","w2","0","0","4096","0","tree","local","4096","100","10","4","32","20","0","0","0","0","0","1638400","1638400","1638400","0","0","0","1638400","1638400","1638400","100.000000","52428800","96141040","54.533215","10","10","1.000000000","32760","0","0","0","0","20480","262144","0","0","0","9400","38502400","157392897","1470","4101"
"full_w2_4096_tree_two_hop_m1","PASS","FULL","fixed","w2","0","0","4096","0","tree","two-hop","4096","100","10","1","16","150","0","0","0","0","0","409600","409600","46600","0","0","0","409600","409600","46600","11.376953","745600","38272480","1.948136","10","10","0.113769531","65520","409600","0","0","0","8192","262144","0","0","0","9400","38502400","156164097","2302","3739"
