"case_name","build_profile","wire_layout","wire_profile","nodes","generated","accepted","delivered","delivery_pct","payload_delivered_bytes","origin_wire_bytes","wire_efficiency_pct","latency_p95_ms","latency_p99_ms","no_space","no_route","link_down","other_rejected","duplicate_deliveries","routes_hwm_max","discoveries_hwm_max","q0_hwm_max","q1_hwm_max","pending_q1_hwm_max","host_work_ms","node_storage_bytes","total_node_storage_bytes"
"full_mixed_254_tree_fault_m4","FULL","mixed","W0","64","26240","25740","8531","33.142968","272992","2355441","11.589847","20","30","489","10","1","0","0","8","1","0","0","4","46","9400","601600"
"full_mixed_254_tree_fault_m4","FULL","mixed","W1","63","25830","25630","7424","28.966055","237568","2585878","9.187131","20","30","200","0","0","0","0","8","1","0","0","4","45","9400","592200"
"full_mixed_254_tree_fault_m4","FULL","mixed","W2","64","26240","26000","7398","28.453846","236736","2784253","8.502676","20","30","240","0","0","0","0","8","1","0","0","4","47","9400","601600"
"full_mixed_254_tree_fault_m4","FULL","mixed","W3","63","25830","25370","7018","27.662594","224576","3075756","7.301489","20","30","446","12","2","0","0","8","1","0","0","4","44","9400","592200"
"full_mixed_254_tree_local_m8","FULL","mixed","W0","64","51200","51200","51200","100.000000","1638400","2521500","64.977196","10","10","0","0","0","0","0","0","0","0","0","0","26","9400","601600"
"full_mixed_254_tree_local_m8","FULL","mixed","W1","63","50400","50400","50400","100.000000","1612800","2685816","60.048790","10","10","0","0","0","0","0","0","0","0","0","0","25","9400","592200"
"full_mixed_254_tree_local_m8","FULL","mixed","W2","64","51200","51200","51200","100.000000","1638400","2986872","54.853372","10","10","0","0","0","0","0","0","0","0","0","0","26","9400","601600"
"full_mixed_254_tree_local_m8","FULL","mixed","W3","63","50400","50400","50400","100.000000","1612800","3143952","51.298493","10","10","0","0","0","0","0","0","0","0","0","0","25","9400","592200"
"full_mixed_254_tree_two_hop_m1","FULL","mixed","W0","64","6400","6400","1000","15.625000","16000","460600","3.473730","10","10","0","0","0","0","0","8","0","0","0","0","12","9400","601600"
"full_mixed_254_tree_two_hop_m1","FULL","mixed","W1","63","6300","6300","200","3.174603","3200","520632","0.614638","10","10","0","0","0","0","0","8","0","0","0","0","12","9400","592200"
"full_mixed_254_tree_two_hop_m1","FULL","mixed","W2","64","6400","6400","2300","35.937500","36800","597744","6.156482","10","10","0","0","0","0","0","8","0","0","0","0","12","9400","601600"
"full_mixed_254_tree_two_hop_m1","FULL","mixed","W3","63","6300","6300","400","6.349206","6400","643104","0.995173","10","10","0","0","0","0","0","8","0","0","0","0","12","9400","592200"
"full_mixed_254_tree_two_hop_staged","FULL","mixed","W0","64","6400","6388","2000","31.308704","32000","299538","10.683119","10","10","12","0","0","0","0","8","1","0","0","4","11","9400","601600"
"full_mixed_254_tree_two_hop_staged","FULL","mixed","W1","63","6300","6288","1400","22.264631","22400","307586","7.282516","10","10","12","0","0","0","0","8","1","0","0","4","9","9400","592200"
"full_mixed_254_tree_two_hop_staged","FULL","mixed","W2","64","6400","6386","2100","32.884435","33600","411407","8.167095","10","10","14","0","0","0","0","8","1","0","0","4","12","9400","601600"
"full_mixed_254_tree_two_hop_staged","FULL","mixed","W3","63","6300","6286","2000","31.816736","32000","428656","7.465194","10","10","14","0","0","0","0","8","1","0","0","4","10","9400","592200"
"full_w0_254_tree_fault_m4","FULL","w0","W0","254","104140","102812","29546","28.737891","945472","9370167","10.090236","20","30","1311","15","2","0","0","8","1","0","0","4","165","9400","2387600"
"full_w0_254_tree_local_m8","FULL","w0","W0","254","203200","203200","203200","100.000000","6502400","10007400","64.975918","10","10","0","0","0","0","0","0","0","0","0","0","79","9400","2387600"
"full_w0_254_tree_two_hop_m1","FULL","w0","W0","254","25400","25400","3900","15.354331","62400","1828400","3.412820","10","10","0","0","0","0","0","8","0","0","0","0","44","9400","2387600"
"full_w0_254_tree_two_hop_staged","FULL","w0","W0","254","25400","25348","7500","29.588133","120000","1180508","10.165115","10","10","52","0","0","0","0","8","1","0","0","4","38","9400","2387600"
"full_w1_1024_tree_fault_m4","FULL","w1","W1","1024","419840","415960","119635","28.761179","3828320","42129231","9.087087","20","30","3855","22","3","0","0","8","1","0","0","4","1143","9400","9625600"
"full_w1_4096_tree_local_m4","FULL","w1","W1","4096","1638400","1638400","1638400","100.000000","52428800","87785240","59.723935","10","10","0","0","0","0","0","0","0","0","0","0","1347","9400","38502400"
"full_w1_4096_tree_two_hop_m1","FULL","w1","W1","4096","409600","409600","46600","11.376953","745600","33848880","2.202732","10","10","0","0","0","0","0","8","0","0","0","0","2046","9400","38502400"
"full_w2_1024_tree_fault_m4","FULL","w2","W2","1024","419840","415960","119635","28.761179","3828320","46026736","8.317600","20","30","3855","22","3","0","0","8","1","0","0","4","1199","9400","9625600"
"full_w2_4096_tree_local_m4","FULL","w2","W2","4096","1638400","1638400","1638400","100.000000","52428800","96141040","54.533215","10","10","0","0","0","0","0","0","0","0","0","0","1470","9400","38502400"
"full_w2_4096_tree_two_hop_m1","FULL","w2","W2","4096","409600","409600","46600","11.376953","745600","38272480","1.948136","10","10","0","0","0","0","0","8","0","0","0","0","2302","9400","38502400"
"full_w3_1024_tree_fault_m4","FULL","w3","W3","1024","419840","415960","119635","28.761179","3828320","49146588","7.789595","20","30","3855","22","3","0","0","8","1","0","0","4","1282","9400","9625600"
"full_w3_4096_tree_local_m4","FULL","w3","W3","4096","1638400","1638400","1638400","100.000000","52428800","102825680","50.988041","10","10","0","0","0","0","0","0","0","0","0","0","1585","9400","38502400"
"full_w3_4096_tree_two_hop_m1","FULL","w3","W3","4096","409600","409600","46600","11.376953","745600","41811360","1.783247","10","10","0","0","0","0","0","8","0","0","0","0","2357","9400","38502400"
"lite_mixed_254_tree_local_m8","LITE","mixed","W0","64","51200","51200","51200","100.000000","1638400","2521500","64.977196","10","10","0","0","0","0","0","0","0","0","0","0","27","5888","376832"
"lite_mixed_254_tree_local_m8","LITE","mixed","W1","63","50400","50400","50400","100.000000","1612800","2685816","60.048790","10","10","0","0","0","0","0","0","0","0","0","0","25","5888","370944"
"lite_mixed_254_tree_local_m8","LITE","mixed","W2","64","51200","51200","51200","100.000000","1638400","2986872","54.853372","10","10","0","0","0","0","0","0","0","0","0","0","25","5888","376832"
"lite_mixed_254_tree_local_m8","LITE","mixed","W3","63","50400","50400","50400","100.000000","1612800","3143952","51.298493","10","10","0","0","0","0","0","0","0","0","0","0","25","5888","370944"
"lite_w3_4096_tree_local_m4","LITE","w3","W3","4096","1638400","1638400","1638400","100.000000","52428800","102825680","50.988041","10","10","0","0","0","0","0","0","0","0","0","0","1271","5888","24117248"
