node_id,wire_profile,degree,admitted,routes_current,routes_hwm,discoveries_hwm,candidates_hwm,q0_hwm,q1_hwm,pending_q1_hwm,paths_hwm,flows_hwm,app_generated,app_accepted,origin_delivered,duplicate_deliveries,q0_generated,q0_accepted,q0_delivered,q1_generated,q1_accepted,q1_delivered,delivery_pct,payload_delivered_bytes,origin_wire_bytes,wire_efficiency_pct,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,frames_tx,frames_rx,forwarded_frames_tx,control_frames_tx,business_frames_tx,wire_bytes_tx,wire_bytes_rx,no_space,no_route,link_down,other_rejected,core_tx_sent,core_rx_delivered,route_requests_sent,route_errors_sent,control_budget_dropped,host_work_us,node_storage_bytes
1,W0,3,3,8,8,0,0,0,0,0,0,0,410,410,392,0,10,10,10,400,400,382,95.609756,12544,41190,30.453994,20,20,30,30,458,1351,22,48,410,21992,74651,0,0,0,0,458,1162,0,0,0,991,9400
2,W2,4,4,8,8,1,0,0,0,4,0,0,410,370,0,0,10,10,0,400,360,0,0.000000,0,6754,0.000000,0,0,0,0,1659,2634,1588,71,1588,89536,146646,40,0,0,0,1659,779,9,0,40,2582,9400
3,W3,4,4,8,8,1,0,0,0,4,0,0,410,370,0,0,10,10,0,400,360,0,0.000000,0,5692,0.000000,0,0,0,0,91,2586,21,91,0,3481,145843,40,0,0,0,91,1153,9,0,40,1386,9400
4,W1,4,4,8,8,1,0,0,0,4,0,0,410,370,0,0,10,10,0,400,360,0,0.000000,0,4462,0.000000,0,0,0,0,100,3868,32,100,0,3170,220952,40,0,0,0,100,1555,9,0,40,2007,9400
5,W0,4,4,8,8,0,0,0,0,0,0,0,410,410,384,0,10,10,10,400,400,374,93.658537,12288,41000,29.970732,20,20,30,30,1268,5116,826,54,1214,69950,287571,0,0,0,0,1268,1162,0,0,0,3117,9400
6,W3,4,4,8,8,0,0,0,0,0,0,0,410,410,394,0,10,10,10,400,400,384,96.097561,12608,53120,23.734940,20,20,30,30,490,3895,48,80,410,29088,220299,0,0,0,0,490,1184,0,0,0,2003,9400
7,W1,4,4,8,8,0,0,0,0,0,0,0,410,410,384,0,10,10,9,400,400,375,93.658537,12288,45148,27.217152,20,20,30,30,484,3435,42,74,410,24861,200553,0,0,0,0,484,782,0,0,0,1741,9400
8,W2,4,4,8,8,1,0,0,0,4,0,0,410,370,0,0,10,10,0,400,360,0,0.000000,0,6271,0.000000,0,0,0,0,895,4734,828,93,802,47542,269064,40,0,0,0,895,1179,9,0,40,2852,9400
9,W0,4,4,8,8,1,0,0,0,4,0,0,410,370,0,0,10,10,0,400,360,0,0.000000,0,4155,0.000000,0,0,0,0,500,4299,433,103,397,28424,244558,40,0,0,0,500,1167,9,0,40,2437,9400
10,W1,4,4,8,8,1,0,0,0,4,0,0,410,370,0,0,10,10,0,400,360,0,0.000000,0,3968,0.000000,0,0,0,0,1268,5111,1201,79,1189,69388,289660,40,0,0,0,1268,1171,9,0,40,3344,9400
11,W2,4,4,8,8,1,0,0,0,4,0,0,410,370,0,0,10,10,0,400,360,0,0.000000,0,5528,0.000000,0,0,0,0,1275,5118,1207,83,1192,68536,291716,40,0,0,0,1275,1162,9,0,40,3392,9400
12,W3,4,4,8,8,1,0,0,0,4,0,0,410,370,0,0,10,10,0,400,360,0,0.000000,0,6596,0.000000,0,0,0,0,1274,5101,1207,82,1192,72303,292768,40,0,0,0,1274,1165,9,0,40,3383,9400
13,W0,4,4,8,8,1,0,0,0,4,0,0,410,370,0,0,10,10,0,400,360,0,0.000000,0,3452,0.000000,0,0,0,0,1280,5135,1212,80,1200,73727,292908,40,0,0,0,1280,1165,9,0,40,3471,9400
14,W2,4,4,8,8,1,0,0,0,4,0,0,410,370,0,0,10,10,0,400,360,0,0.000000,0,5861,0.000000,0,0,0,0,1255,5109,1187,68,1187,69298,289334,40,0,0,0,1255,1184,9,0,40,3271,9400
15,W3,4,4,8,8,0,0,0,0,0,0,0,410,410,389,0,10,10,10,400,400,379,94.878049,12448,53120,23.433735,20,20,30,30,1646,5126,1204,41,1605,93519,292465,0,0,0,0,1646,1548,0,0,0,3326,9400
16,W1,4,4,8,8,0,0,0,0,0,0,0,410,410,390,0,10,10,10,400,400,380,95.121951,12480,45614,27.360021,20,20,30,30,1659,4901,1218,49,1610,93725,280129,0,0,0,0,1659,784,0,0,0,3268,9400
17,W0,4,4,8,8,1,0,0,0,4,0,0,410,370,0,0,10,10,0,400,360,0,0.000000,0,3660,0.000000,0,0,0,0,1279,4817,1211,68,1211,73965,277056,40,0,0,0,1279,1173,9,0,40,3284,9400
18,W3,4,4,8,8,1,0,0,0,4,0,0,410,370,0,0,10,10,0,400,360,0,0.000000,0,6886,0.000000,0,0,0,0,1277,5095,1209,74,1203,70753,288526,40,0,0,0,1277,1162,9,0,40,3350,9400
19,W1,4,4,8,8,1,0,0,0,4,0,0,410,370,0,0,10,10,0,400,360,0,0.000000,0,4834,0.000000,0,0,0,0,1281,5152,1213,77,1204,68584,293923,40,0,0,0,1281,782,9,0,40,3365,9400
20,W2,4,4,8,8,1,0,0,0,4,0,0,410,370,0,0,10,10,0,400,360,0,0.000000,0,5861,0.000000,0,0,0,0,1278,5127,1210,74,1204,72410,294224,40,0,0,0,1278,1166,9,0,40,3356,9400
21,W0,4,4,8,8,1,0,0,0,4,0,0,410,370,0,0,10,10,0,400,360,0,0.000000,0,3764,0.000000,0,0,0,0,1275,5126,1207,71,1204,73686,292680,40,0,0,0,1275,1173,9,0,40,3435,9400
22,W1,4,4,8,8,1,0,0,0,4,0,0,410,370,0,0,10,10,0,400,360,0,0.000000,0,5299,0.000000,0,0,0,0,885,4701,817,92,793,49973,268632,40,0,0,0,885,774,9,0,40,2877,9400
23,W2,4,4,8,8,0,0,0,0,0,0,0,410,410,0,0,10,10,0,400,400,0,0.000000,0,49688,0.000000,0,0,0,0,1663,5150,1221,47,1616,92608,293461,0,0,0,0,1663,767,0,0,0,3325,9400
24,W3,4,4,8,8,1,0,0,0,4,0,0,410,370,0,0,10,10,0,400,360,0,0.000000,0,6130,0.000000,0,0,0,0,1278,5124,1210,77,1201,72715,294281,40,0,0,0,1278,780,9,0,40,3406,9400
25,W0,4,4,8,8,0,0,0,0,0,0,0,410,410,0,0,10,10,0,400,400,0,0.000000,0,41400,0.000000,0,0,0,0,1653,3870,1211,47,1606,93280,223163,0,0,0,0,1653,780,0,0,0,2781,9400
26,W2,4,4,8,8,1,0,0,0,4,0,0,410,370,0,0,10,10,0,400,360,0,0.000000,0,5454,0.000000,0,0,0,0,1286,5006,1218,77,1209,70723,282409,40,0,0,0,1286,1563,9,0,40,3341,9400
27,W3,4,4,8,8,0,0,0,0,0,0,0,410,410,385,0,10,10,10,400,400,375,93.902439,12320,52864,23.305085,20,20,30,30,1651,4726,1209,44,1607,93674,267565,0,0,0,0,1651,781,0,0,0,3116,9400
28,W1,4,4,8,8,1,0,0,0,4,0,0,410,370,0,0,10,10,0,400,360,0,0.000000,0,3563,0.000000,0,0,0,0,1285,4330,1217,80,1205,72287,246798,40,0,0,0,1285,1168,9,0,40,3037,9400
