node_id,wire_profile,degree,admitted,routes_current,routes_hwm,discoveries_hwm,candidates_hwm,q0_hwm,q1_hwm,pending_q1_hwm,paths_hwm,flows_hwm,app_generated,app_accepted,origin_delivered,duplicate_deliveries,q0_generated,q0_accepted,q0_delivered,q1_generated,q1_accepted,q1_delivered,delivery_pct,payload_delivered_bytes,origin_wire_bytes,wire_efficiency_pct,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,frames_tx,frames_rx,forwarded_frames_tx,control_frames_tx,business_frames_tx,wire_bytes_tx,wire_bytes_rx,no_space,no_route,link_down,other_rejected,core_tx_sent,core_rx_delivered,route_requests_sent,route_errors_sent,control_budget_dropped,host_work_us,node_storage_bytes
1,W0,3,3,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,7400,21.621622,10,10,10,10,424,1224,300,24,400,17100,50308,0,0,0,0,424,500,0,0,0,755,9400
2,W2,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,9888,16.181230,10,10,10,10,532,1532,400,32,500,20988,62036,0,0,0,0,532,400,0,0,0,833,9400
3,W3,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,10816,14.792899,10,10,10,10,432,1332,300,32,400,17716,54804,0,0,0,0,432,300,0,0,0,748,9400
4,W1,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,8728,18.331806,10,10,10,10,432,1232,300,32,400,17428,50976,0,0,0,0,432,200,0,0,0,672,9400
5,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,7600,21.052632,10,10,10,10,432,1332,300,32,400,17300,53980,0,0,0,0,432,200,0,0,0,715,9400
6,W3,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,10816,14.792899,10,10,10,10,432,1232,300,32,400,18116,50008,0,0,0,0,432,100,0,0,0,644,9400
7,W1,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,8728,18.331806,10,10,10,10,432,1232,300,32,400,16528,50476,0,0,0,0,432,100,0,0,0,660,9400
8,W2,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,9888,16.181230,10,10,10,10,432,1232,300,32,400,18088,51080,0,0,0,0,432,100,0,0,0,688,9400
9,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,7600,21.052632,10,10,10,10,432,1232,300,32,400,17300,50612,0,0,0,0,432,100,0,0,0,667,9400
10,W1,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,8728,0.000000,0,0,0,0,432,1232,300,32,400,16928,50040,0,0,0,0,432,100,0,0,0,648,9400
11,W2,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,9888,0.000000,0,0,0,0,432,1232,300,32,400,17188,50436,0,0,0,0,432,100,0,0,0,640,9400
12,W3,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,10816,0.000000,0,0,0,0,432,1232,300,32,400,18616,51008,0,0,0,0,432,100,0,0,0,668,9400
13,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,7600,0.000000,0,0,0,0,432,1232,300,32,400,17300,50540,0,0,0,0,432,100,0,0,0,674,9400
14,W2,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,9888,16.181230,10,10,10,10,432,1232,300,32,400,17588,49936,0,0,0,0,432,100,0,0,0,651,9400
15,W3,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,10816,14.792899,10,10,10,10,432,1232,300,32,400,17716,50404,0,0,0,0,432,100,0,0,0,651,9400
16,W1,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,8728,0.000000,0,0,0,0,432,1232,300,32,400,17428,50976,0,0,0,0,432,100,0,0,0,648,9400
17,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,7600,0.000000,0,0,0,0,432,1232,300,32,400,17300,50612,0,0,0,0,432,100,0,0,0,663,9400
18,W3,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,10816,0.000000,0,0,0,0,432,1232,300,32,400,18116,50040,0,0,0,0,432,100,0,0,0,654,9400
19,W1,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,8728,0.000000,0,0,0,0,432,1232,300,32,400,16528,50508,0,0,0,0,432,100,0,0,0,653,9400
20,W2,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,9888,0.000000,0,0,0,0,432,1232,300,32,400,18088,51008,0,0,0,0,432,100,0,0,0,644,9400
21,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,7600,0.000000,0,0,0,0,432,1232,300,32,400,17300,50540,0,0,0,0,432,100,0,0,0,661,9400
22,W1,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,8728,0.000000,0,0,0,0,432,1232,300,32,400,16928,49968,0,0,0,0,432,100,0,0,0,636,9400
23,W2,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,9888,16.181230,10,10,10,10,432,1232,300,32,400,17188,50476,0,0,0,0,432,100,0,0,0,644,9400
24,W3,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,10816,14.792899,10,10,10,10,432,1232,300,32,400,18616,51048,0,0,0,0,432,100,0,0,0,668,9400
25,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,7600,0.000000,0,0,0,0,432,1232,300,32,400,17300,50580,0,0,0,0,432,100,0,0,0,649,9400
26,W2,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,9888,0.000000,0,0,0,0,432,1232,300,32,400,17588,49936,0,0,0,0,432,100,0,0,0,661,9400
27,W3,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,10816,0.000000,0,0,0,0,432,1232,300,32,400,17716,50404,0,0,0,0,432,100,0,0,0,632,9400
28,W1,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,8728,0.000000,0,0,0,0,432,1032,300,32,400,17428,42276,0,0,0,0,432,100,0,0,0,580,9400
29,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,7600,0.000000,0,0,0,0,432,332,300,32,400,17300,14140,0,0,0,0,432,0,0,0,0,382,9400
30,W3,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,10816,0.000000,0,0,0,0,432,332,300,32,400,18116,13068,0,0,0,0,432,0,0,0,0,348,9400
31,W1,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,8728,0.000000,0,0,0,0,432,332,300,32,400,16528,12636,0,0,0,0,432,0,0,0,0,338,9400
32,W2,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,9888,16.181230,10,10,10,10,432,332,300,32,400,18088,13648,0,0,0,0,432,0,0,0,0,362,9400
33,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,7600,21.052632,10,10,10,10,432,332,300,32,400,17300,14180,0,0,0,0,432,0,0,0,0,367,9400
34,W1,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,8728,0.000000,0,0,0,0,432,332,300,32,400,16928,13108,0,0,0,0,432,0,0,0,0,350,9400
35,W2,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,9888,0.000000,0,0,0,0,432,332,300,32,400,17188,12708,0,0,0,0,432,0,0,0,0,355,9400
36,W3,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,10816,0.000000,0,0,0,0,432,332,300,32,400,18616,13680,0,0,0,0,432,0,0,0,0,369,9400
37,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,7600,0.000000,0,0,0,0,432,332,300,32,400,17300,14212,0,0,0,0,432,0,0,0,0,364,9400
38,W2,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,9888,0.000000,0,0,0,0,432,332,300,32,400,17588,13036,0,0,0,0,432,0,0,0,0,360,9400
39,W3,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,10816,0.000000,0,0,0,0,432,332,300,32,400,17716,12604,0,0,0,0,432,0,0,0,0,343,9400
40,W1,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,8728,0.000000,0,0,0,0,432,332,300,32,400,17428,13576,0,0,0,0,432,0,0,0,0,358,9400
41,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,7600,21.052632,10,10,10,10,432,332,300,32,400,17300,14180,0,0,0,0,432,0,0,0,0,366,9400
42,W3,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,10816,0.000000,0,0,0,0,432,332,300,32,400,18116,13108,0,0,0,0,432,0,0,0,0,355,9400
43,W1,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,8728,0.000000,0,0,0,0,432,332,300,32,400,16528,12676,0,0,0,0,432,0,0,0,0,358,9400
44,W2,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,9888,0.000000,0,0,0,0,432,332,300,32,400,18088,13680,0,0,0,0,432,0,0,0,0,358,9400
45,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,7600,0.000000,0,0,0,0,432,332,300,32,400,17300,14212,0,0,0,0,432,0,0,0,0,363,9400
46,W1,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,8728,0.000000,0,0,0,0,432,332,300,32,400,16928,13140,0,0,0,0,432,0,0,0,0,345,9400
47,W2,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,9888,0.000000,0,0,0,0,432,332,300,32,400,17188,12636,0,0,0,0,432,0,0,0,0,351,9400
48,W3,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,10816,0.000000,0,0,0,0,432,332,300,32,400,18616,13608,0,0,0,0,432,0,0,0,0,363,9400
49,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,7600,0.000000,0,0,0,0,432,332,300,32,400,17300,14140,0,0,0,0,432,0,0,0,0,378,9400
50,W2,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,9888,16.181230,10,10,10,10,432,332,300,32,400,17588,13036,0,0,0,0,432,0,0,0,0,386,9400
51,W3,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,10816,0.000000,0,0,0,0,432,332,300,32,400,17716,12604,0,0,0,0,432,0,0,0,0,342,9400
52,W1,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,8728,0.000000,0,0,0,0,432,332,300,32,400,17428,13576,0,0,0,0,432,0,0,0,0,360,9400
53,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,7600,0.000000,0,0,0,0,432,332,300,32,400,17300,14212,0,0,0,0,432,0,0,0,0,364,9400
