node_id,wire_profile,degree,admitted,routes_current,routes_hwm,discoveries_hwm,candidates_hwm,q0_hwm,q1_hwm,pending_q1_hwm,paths_hwm,flows_hwm,app_generated,app_accepted,origin_delivered,duplicate_deliveries,q0_generated,q0_accepted,q0_delivered,q1_generated,q1_accepted,q1_delivered,delivery_pct,payload_delivered_bytes,origin_wire_bytes,wire_efficiency_pct,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,frames_tx,frames_rx,forwarded_frames_tx,control_frames_tx,business_frames_tx,wire_bytes_tx,wire_bytes_rx,no_space,no_route,link_down,other_rejected,core_tx_sent,core_rx_delivered,route_requests_sent,route_errors_sent,control_budget_dropped,host_work_us,node_storage_bytes
1,W0,3,3,3,3,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,7400,21.621622,10,10,10,10,424,1224,300,24,400,17100,50308,0,0,0,0,424,100,0,0,0,795,9400
2,W2,4,4,3,3,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,9888,16.181230,10,10,10,10,532,1532,400,32,500,20988,62036,0,0,0,0,532,100,0,0,0,891,9400
3,W3,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,10816,14.792899,10,10,10,10,432,1040,300,32,400,17716,42954,0,0,0,0,432,700,0,0,0,683,9400
4,W1,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,8728,0.000000,0,0,0,0,432,940,300,32,400,17428,38170,0,0,0,0,432,600,0,0,0,649,9400
5,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,7600,21.052632,10,10,10,10,432,1040,300,32,400,17300,41664,0,0,0,0,432,700,0,0,0,671,9400
6,W3,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,10816,0.000000,0,0,0,0,432,940,300,32,400,18116,38570,0,0,0,0,432,600,0,0,0,606,9400
7,W1,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,8728,0.000000,0,0,0,0,432,940,300,32,400,16528,38626,0,0,0,0,432,600,0,0,0,609,9400
8,W2,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,9888,0.000000,0,0,0,0,432,664,300,32,400,18088,26529,0,0,0,0,432,300,0,0,0,515,9400
9,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,7600,0.000000,0,0,0,0,432,664,300,32,400,17300,27370,0,0,0,0,432,300,0,0,0,545,9400
10,W1,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,8641,0.000000,0,0,0,0,153,481,24,53,100,5491,19179,0,0,0,0,153,400,0,0,0,306,9400
11,W2,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,9888,0.000000,0,0,0,0,432,564,300,32,400,17188,22944,0,0,0,0,432,200,0,0,0,466,9400
