node_id,wire_profile,degree,admitted,routes_current,routes_hwm,discoveries_hwm,candidates_hwm,q0_hwm,q1_hwm,pending_q1_hwm,paths_hwm,flows_hwm,app_generated,app_accepted,origin_delivered,duplicate_deliveries,q0_generated,q0_accepted,q0_delivered,q1_generated,q1_accepted,q1_delivered,delivery_pct,payload_delivered_bytes,origin_wire_bytes,wire_efficiency_pct,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,frames_tx,frames_rx,forwarded_frames_tx,control_frames_tx,business_frames_tx,wire_bytes_tx,wire_bytes_rx,no_space,no_route,link_down,other_rejected,core_tx_sent,core_rx_delivered,route_requests_sent,route_errors_sent,control_budget_dropped,host_work_us,node_storage_bytes
1,W0,3,3,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39500,64.810127,10,10,10,10,812,2412,0,12,800,39500,117900,0,0,0,0,812,2400,0,0,0,939,9400
2,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,3216,0,16,800,39600,157200,0,0,0,0,816,3200,0,0,0,1153,9400
3,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,2416,0,16,800,39600,118000,0,0,0,0,816,2400,0,0,0,866,9400
4,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,2416,0,16,800,39600,118000,0,0,0,0,816,2400,0,0,0,873,9400
5,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,2416,0,16,800,39600,118000,0,0,0,0,816,2400,0,0,0,864,9400
6,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,2416,0,16,800,39600,118000,0,0,0,0,816,2400,0,0,0,880,9400
7,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,2416,0,16,800,39600,118000,0,0,0,0,816,2400,0,0,0,891,9400
8,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,2416,0,16,800,39600,118000,0,0,0,0,816,2400,0,0,0,897,9400
9,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,2416,0,16,800,39600,118000,0,0,0,0,816,2400,0,0,0,863,9400
10,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,2416,0,16,800,39600,118000,0,0,0,0,816,2400,0,0,0,919,9400
11,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,2416,0,16,800,39600,118000,0,0,0,0,816,2400,0,0,0,904,9400
12,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,2416,0,16,800,39600,118000,0,0,0,0,816,2400,0,0,0,865,9400
13,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,2416,0,16,800,39600,118000,0,0,0,0,816,2400,0,0,0,875,9400
14,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,2416,0,16,800,39600,118000,0,0,0,0,816,2400,0,0,0,860,9400
15,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,2416,0,16,800,39600,118000,0,0,0,0,816,2400,0,0,0,863,9400
16,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,2416,0,16,800,39600,118000,0,0,0,0,816,2400,0,0,0,886,9400
17,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,2416,0,16,800,39600,118000,0,0,0,0,816,2400,0,0,0,883,9400
18,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,2416,0,16,800,39600,118000,0,0,0,0,816,2400,0,0,0,897,9400
19,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,2416,0,16,800,39600,118000,0,0,0,0,816,2400,0,0,0,911,9400
20,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,2416,0,16,800,39600,118000,0,0,0,0,816,2400,0,0,0,906,9400
21,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,2416,0,16,800,39600,118000,0,0,0,0,816,2400,0,0,0,889,9400
22,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,2416,0,16,800,39600,118000,0,0,0,0,816,2400,0,0,0,888,9400
