node_id,wire_profile,degree,admitted,routes_current,routes_hwm,discoveries_hwm,candidates_hwm,q0_hwm,q1_hwm,pending_q1_hwm,paths_hwm,flows_hwm,app_generated,app_accepted,origin_delivered,duplicate_deliveries,q0_generated,q0_accepted,q0_delivered,q1_generated,q1_accepted,q1_delivered,delivery_pct,payload_delivered_bytes,origin_wire_bytes,wire_efficiency_pct,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,frames_tx,frames_rx,forwarded_frames_tx,control_frames_tx,business_frames_tx,wire_bytes_tx,wire_bytes_rx,no_space,no_route,link_down,other_rejected,core_tx_sent,core_rx_delivered,route_requests_sent,route_errors_sent,control_budget_dropped,host_work_us,node_storage_bytes
1,W0,3,3,3,3,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,7400,21.621622,10,10,10,10,424,1224,300,24,400,14200,41400,0,0,0,0,424,100,0,0,0,682,9400
2,W0,4,4,3,3,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,7600,21.052632,10,10,10,10,532,1532,400,32,500,17800,51800,0,0,0,0,532,100,0,0,0,813,9400
3,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,7600,21.052632,10,10,10,10,432,1040,300,32,400,14400,35008,0,0,0,0,432,700,0,0,0,574,9400
4,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,7600,0.000000,0,0,0,0,432,940,300,32,400,14400,31608,0,0,0,0,432,600,0,0,0,551,9400
5,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,7600,21.052632,10,10,10,10,432,1040,300,32,400,14400,35008,0,0,0,0,432,700,0,0,0,577,9400
6,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,7600,0.000000,0,0,0,0,432,940,300,32,400,14400,31608,0,0,0,0,432,600,0,0,0,520,9400
7,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,7600,0.000000,0,0,0,0,432,940,300,32,400,14400,31608,0,0,0,0,432,600,0,0,0,510,9400
8,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,7600,0.000000,0,0,0,0,432,664,300,32,400,14400,22032,0,0,0,0,432,300,0,0,0,430,9400
9,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,7600,0.000000,0,0,0,0,432,664,300,32,400,14400,22032,0,0,0,0,432,300,0,0,0,428,9400
10,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,7525,0.000000,0,0,0,0,153,481,24,53,100,4749,15677,0,0,0,0,153,400,0,0,0,267,9400
11,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,7600,0.000000,0,0,0,0,432,573,300,32,400,14400,18866,0,0,0,0,432,200,0,0,0,426,9400
12,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,7600,0.000000,0,0,0,0,432,573,300,32,400,14400,18866,0,0,0,0,432,200,0,0,0,418,9400
13,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,7525,0.000000,0,0,0,0,153,383,24,53,100,4749,12329,0,0,0,0,153,300,0,0,0,239,9400
14,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,7600,0.000000,0,0,0,0,432,664,300,32,400,14400,22032,0,0,0,0,432,300,0,0,0,454,9400
15,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,7600,0.000000,0,0,0,0,432,664,300,32,400,14400,22032,0,0,0,0,432,300,0,0,0,460,9400
16,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,7525,0.000000,0,0,0,0,153,478,24,53,100,4749,15599,0,0,0,0,153,400,0,0,0,255,9400
17,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,7600,0.000000,0,0,0,0,432,567,300,32,400,14400,18710,0,0,0,0,432,200,0,0,0,427,9400
18,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,7600,0.000000,0,0,0,0,432,567,300,32,400,14400,18710,0,0,0,0,432,200,0,0,0,415,9400
19,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,7525,0.000000,0,0,0,0,153,377,24,53,100,4749,12173,0,0,0,0,153,300,0,0,0,220,9400
20,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,7600,0.000000,0,0,0,0,432,567,300,32,400,14400,18710,0,0,0,0,432,200,0,0,0,412,9400
21,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,7600,0.000000,0,0,0,0,432,567,300,32,400,14400,18710,0,0,0,0,432,200,0,0,0,403,9400
22,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0.000000,0,7525,0.000000,0,0,0,0,153,377,24,53,100,4749,12173,0,0,0,0,153,300,0,0,0,222,9400
23,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,7600,21.052632,10,10,10,10,432,1232,300,32,400,14400,41600,0,0,0,0,432,0,0,0,0,613,9400
24,W0,4,4,7,7,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,7525,21.262458,10,10,10,10,177,959,48,77,100,5373,32105,0,0,0,0,177,0,0,0,0,397,9400
25,W0,4,4,7,7,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,7525,21.262458,10,10,10,10,177,959,48,77,100,5373,32105,0,0,0,0,177,0,0,0,0,397,9400
26,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,7600,21.052632,10,10,10,10,432,1232,300,32,400,14400,41600,0,0,0,0,432,0,0,0,0,609,9400
27,W0,4,4,7,7,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,7525,21.262458,10,10,10,10,177,959,48,77,100,5373,32105,0,0,0,0,177,0,0,0,0,403,9400
28,W0,4,4,7,7,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,7550,21.192053,10,10,10,10,178,760,48,78,100,5398,25330,0,0,0,0,178,0,0,0,0,340,9400
29,W0,4,4,7,7,1,0,0,0,4,0,0,100,98,0,0,0,0,0,100,98,0,0.000000,0,2520,0.000000,0,0,0,0,380,332,312,80,300,12252,11004,2,0,0,0,380,0,10,0,38,348,9400
30,W0,4,4,7,7,1,0,0,0,4,0,0,100,98,0,0,0,0,0,100,98,0,0.000000,0,2208,0.000000,0,0,0,0,216,154,148,116,100,6388,4776,2,0,0,0,216,0,10,0,38,217,9400
31,W0,4,4,6,6,1,0,0,0,4,0,0,100,98,0,0,0,0,0,100,98,0,0.000000,0,2208,0.000000,0,0,0,0,116,64,48,116,0,2988,1636,2,0,0,0,116,0,10,0,38,141,9400
32,W0,4,4,8,8,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,7600,21.052632,10,10,10,10,359,242,227,59,300,11702,7860,0,0,0,0,359,0,0,0,0,277,9400
33,W0,4,4,7,7,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,7600,21.052632,10,10,10,10,180,62,48,80,100,5448,1580,0,0,0,0,180,0,0,0,0,132,9400
34,W0,4,4,7,7,0,0,0,0,0,0,0,100,100,100,0,0,0,0,100,100,100,100.000000,1600,7600,21.052632,10,10,10,10,180,62,48,80,100,5448,1580,0,0,0,0,180,0,0,0,0,134,9400
