node_id,wire_profile,degree,admitted,routes_current,routes_hwm,discoveries_hwm,candidates_hwm,q0_hwm,q1_hwm,pending_q1_hwm,paths_hwm,flows_hwm,app_generated,app_accepted,origin_delivered,duplicate_deliveries,q0_generated,q0_accepted,q0_delivered,q1_generated,q1_accepted,q1_delivered,delivery_pct,payload_delivered_bytes,origin_wire_bytes,wire_efficiency_pct,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,frames_tx,frames_rx,forwarded_frames_tx,control_frames_tx,business_frames_tx,wire_bytes_tx,wire_bytes_rx,no_space,no_route,link_down,other_rejected,core_tx_sent,core_rx_delivered,route_requests_sent,route_errors_sent,control_budget_dropped,host_work_us,node_storage_bytes
1,W1,3,3,8,8,0,0,0,0,0,0,0,410,410,0,0,10,10,0,400,400,0,0.000000,0,45746,0.000000,0,0,0,0,848,1305,409,42,806,45632,70297,0,0,0,0,848,388,0,0,0,2577,9400
2,W1,4,4,8,8,1,0,0,0,4,0,0,410,370,0,0,10,10,0,400,360,0,0.000000,0,4030,0.000000,0,0,0,0,894,3045,822,93,801,46930,165661,40,0,0,0,894,394,9,0,40,3829,9400
3,W1,4,4,8,8,0,0,0,0,0,0,0,410,410,0,0,10,10,0,400,400,0,0.000000,0,45570,0.000000,0,0,0,0,467,1334,21,57,410,24285,71334,0,0,0,0,467,385,0,0,0,1500,9400
4,W1,4,4,8,8,1,0,0,0,4,0,0,410,370,0,0,10,10,0,400,360,0,0.000000,0,4559,0.000000,0,0,0,0,483,2180,412,88,395,24439,118296,40,0,0,0,483,393,9,0,40,2544,9400
5,W1,4,4,8,8,1,0,0,0,4,0,0,410,370,0,0,10,10,0,400,360,0,0.000000,0,4525,0.000000,0,0,0,0,497,1817,427,97,400,24983,97729,40,0,0,0,497,394,9,0,40,2188,9400
6,W1,4,4,8,8,1,0,0,0,4,0,0,410,370,0,0,10,10,0,400,360,0,0.000000,0,5613,0.000000,0,0,0,0,497,2624,431,97,400,24955,142290,40,0,0,0,497,785,9,0,40,2600,9400
7,W1,4,4,8,8,0,0,0,0,0,0,0,410,410,388,0,10,10,10,400,400,378,94.634146,12416,45677,27.182170,20,20,30,30,1260,3082,816,49,1211,68096,167696,0,0,0,0,1260,396,0,0,0,3388,9400
8,W1,4,4,8,8,1,0,0,0,4,0,0,410,370,0,0,10,10,0,400,360,0,0.000000,0,3991,0.000000,0,0,0,0,484,951,412,89,395,24468,50295,40,0,0,0,484,0,9,0,40,1424,9400
9,W1,4,4,8,8,1,0,0,0,4,0,0,410,370,0,0,10,10,0,400,360,0,0.000000,0,7765,0.000000,0,0,0,0,889,3442,818,89,800,46719,187874,40,0,0,0,889,775,9,0,40,3377,9400
10,W1,4,4,8,8,1,0,0,0,4,0,0,410,370,0,0,10,10,0,400,360,0,0.000000,0,3629,0.000000,0,0,0,0,90,523,19,90,0,2768,26475,40,0,0,0,90,0,9,0,40,716,9400
