node_id,wire_profile,degree,admitted,routes_current,routes_hwm,discoveries_hwm,candidates_hwm,q0_hwm,q1_hwm,pending_q1_hwm,paths_hwm,flows_hwm,app_generated,app_accepted,origin_delivered,duplicate_deliveries,q0_generated,q0_accepted,q0_delivered,q1_generated,q1_accepted,q1_delivered,delivery_pct,payload_delivered_bytes,origin_wire_bytes,wire_efficiency_pct,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_max_ms,frames_tx,frames_rx,forwarded_frames_tx,control_frames_tx,business_frames_tx,wire_bytes_tx,wire_bytes_rx,no_space,no_route,link_down,other_rejected,core_tx_sent,core_rx_delivered,route_requests_sent,route_errors_sent,control_budget_dropped,host_work_us,node_storage_bytes
1,W0,3,3,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39500,64.810127,10,10,10,10,812,2412,0,12,800,39500,138804,0,0,0,0,812,2400,0,0,0,1281,5888
2,W2,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,46944,54.533061,10,10,10,10,816,3216,0,16,800,46944,170868,0,0,0,0,816,3200,0,0,0,1546,5888
3,W3,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,50208,50.987890,10,10,10,10,816,2416,0,16,800,50208,128452,0,0,0,0,816,2400,0,0,0,1142,5888
4,W1,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,42864,59.723778,10,10,10,10,816,2416,0,16,800,42864,135688,0,0,0,0,816,2400,0,0,0,1124,5888
5,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,2416,0,16,800,39600,138940,0,0,0,0,816,2400,0,0,0,1150,5888
6,W3,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,50208,50.987890,10,10,10,10,816,2416,0,16,800,50208,131704,0,0,0,0,816,2400,0,0,0,1153,5888
7,W1,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,42864,59.723778,10,10,10,10,816,2416,0,16,800,42864,128488,0,0,0,0,816,2400,0,0,0,1124,5888
8,W2,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,46944,54.533061,10,10,10,10,816,2416,0,16,800,46944,135740,0,0,0,0,816,2400,0,0,0,1159,5888
9,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,2416,0,16,800,39600,138956,0,0,0,0,816,2400,0,0,0,1192,5888
10,W1,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,42864,59.723778,10,10,10,10,816,2416,0,16,800,42864,131720,0,0,0,0,816,2400,0,0,0,1101,5888
11,W2,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,46944,54.533061,10,10,10,10,816,2416,0,16,800,46944,128468,0,0,0,0,816,2400,0,0,0,1070,5888
12,W3,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,50208,50.987890,10,10,10,10,816,2416,0,16,800,50208,135704,0,0,0,0,816,2400,0,0,0,1211,5888
13,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,2416,0,16,800,39600,138920,0,0,0,0,816,2400,0,0,0,1266,5888
14,W2,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,46944,54.533061,10,10,10,10,816,2416,0,16,800,46944,131668,0,0,0,0,816,2400,0,0,0,1066,5888
15,W3,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,50208,50.987890,10,10,10,10,816,2416,0,16,800,50208,128452,0,0,0,0,816,2400,0,0,0,1062,5888
16,W1,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,42864,59.723778,10,10,10,10,816,2416,0,16,800,42864,135688,0,0,0,0,816,2400,0,0,0,1093,5888
17,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,2416,0,16,800,39600,138956,0,0,0,0,816,2400,0,0,0,1140,5888
18,W3,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,50208,50.987890,10,10,10,10,816,2416,0,16,800,50208,131720,0,0,0,0,816,2400,0,0,0,1056,5888
19,W1,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,42864,59.723778,10,10,10,10,816,2416,0,16,800,42864,128504,0,0,0,0,816,2400,0,0,0,1085,5888
20,W2,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,46944,54.533061,10,10,10,10,816,2416,0,16,800,46944,135704,0,0,0,0,816,2400,0,0,0,1086,5888
21,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,2416,0,16,800,39600,138920,0,0,0,0,816,2400,0,0,0,1161,5888
22,W1,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,42864,59.723778,10,10,10,10,816,2416,0,16,800,42864,131684,0,0,0,0,816,2400,0,0,0,1075,5888
23,W2,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,46944,54.533061,10,10,10,10,816,2416,0,16,800,46944,128488,0,0,0,0,816,2400,0,0,0,1099,5888
24,W3,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,50208,50.987890,10,10,10,10,816,2416,0,16,800,50208,135724,0,0,0,0,816,2400,0,0,0,1088,5888
25,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,2416,0,16,800,39600,138940,0,0,0,0,816,2400,0,0,0,1230,5888
26,W2,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,46944,54.533061,10,10,10,10,816,2416,0,16,800,46944,131668,0,0,0,0,816,2400,0,0,0,1149,5888
27,W3,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,50208,50.987890,10,10,10,10,816,2416,0,16,800,50208,128452,0,0,0,0,816,2400,0,0,0,1039,5888
28,W1,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,42864,59.723778,10,10,10,10,816,2416,0,16,800,42864,135688,0,0,0,0,816,2400,0,0,0,1076,5888
29,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,2416,0,16,800,39600,138920,0,0,0,0,816,2400,0,0,0,1131,5888
30,W3,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,50208,50.987890,10,10,10,10,816,2416,0,16,800,50208,131684,0,0,0,0,816,2400,0,0,0,1077,5888
31,W1,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,42864,59.723778,10,10,10,10,816,2416,0,16,800,42864,128468,0,0,0,0,816,2400,0,0,0,1042,5888
32,W2,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,46944,54.533061,10,10,10,10,816,2416,0,16,800,46944,135724,0,0,0,0,816,2400,0,0,0,1261,5888
33,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,2416,0,16,800,39600,138940,0,0,0,0,816,2400,0,0,0,1122,5888
34,W1,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,42864,59.723778,10,10,10,10,816,2416,0,16,800,42864,131704,0,0,0,0,816,2400,0,0,0,1081,5888
35,W2,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,46944,54.533061,10,10,10,10,816,2416,0,16,800,46944,128504,0,0,0,0,816,2400,0,0,0,1088,5888
36,W3,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,50208,50.987890,10,10,10,10,816,2416,0,16,800,50208,135740,0,0,0,0,816,2400,0,0,0,1086,5888
37,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,2416,0,16,800,39600,138956,0,0,0,0,816,2400,0,0,0,1183,5888
38,W2,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,46944,54.533061,10,10,10,10,816,2416,0,16,800,46944,131668,0,0,0,0,816,2400,0,0,0,1094,5888
39,W3,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,50208,50.987890,10,10,10,10,816,2416,0,16,800,50208,128452,0,0,0,0,816,2400,0,0,0,1062,5888
40,W1,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,42864,59.723778,10,10,10,10,816,2416,0,16,800,42864,135688,0,0,0,0,816,2400,0,0,0,1100,5888
41,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,2416,0,16,800,39600,138940,0,0,0,0,816,2400,0,0,0,1149,5888
42,W3,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,50208,50.987890,10,10,10,10,816,2416,0,16,800,50208,131704,0,0,0,0,816,2400,0,0,0,1097,5888
43,W1,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,42864,59.723778,10,10,10,10,816,2416,0,16,800,42864,128488,0,0,0,0,816,2400,0,0,0,1042,5888
44,W2,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,46944,54.533061,10,10,10,10,816,2416,0,16,800,46944,135740,0,0,0,0,816,2400,0,0,0,1154,5888
45,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,2416,0,16,800,39600,138956,0,0,0,0,816,2400,0,0,0,1152,5888
46,W1,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,42864,59.723778,10,10,10,10,816,2416,0,16,800,42864,131720,0,0,0,0,816,2400,0,0,0,1110,5888
47,W2,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,46944,54.533061,10,10,10,10,816,2416,0,16,800,46944,128468,0,0,0,0,816,2400,0,0,0,1055,5888
48,W3,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,50208,50.987890,10,10,10,10,816,2416,0,16,800,50208,135704,0,0,0,0,816,2400,0,0,0,1109,5888
49,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,2416,0,16,800,39600,138920,0,0,0,0,816,2400,0,0,0,1138,5888
50,W2,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,46944,54.533061,10,10,10,10,816,2416,0,16,800,46944,131668,0,0,0,0,816,2400,0,0,0,1070,5888
51,W3,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,50208,50.987890,10,10,10,10,816,2416,0,16,800,50208,128452,0,0,0,0,816,2400,0,0,0,1078,5888
52,W1,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,42864,59.723778,10,10,10,10,816,2416,0,16,800,42864,135688,0,0,0,0,816,2400,0,0,0,1123,5888
53,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,2416,0,16,800,39600,138956,0,0,0,0,816,2400,0,0,0,1147,5888
54,W3,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,50208,50.987890,10,10,10,10,816,2416,0,16,800,50208,131720,0,0,0,0,816,2400,0,0,0,1065,5888
55,W1,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,42864,59.723778,10,10,10,10,816,2416,0,16,800,42864,128504,0,0,0,0,816,2400,0,0,0,1091,5888
56,W2,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,46944,54.533061,10,10,10,10,816,2416,0,16,800,46944,135704,0,0,0,0,816,2400,0,0,0,1107,5888
57,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,2416,0,16,800,39600,138920,0,0,0,0,816,2400,0,0,0,1092,5888
58,W1,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,42864,59.723778,10,10,10,10,816,2416,0,16,800,42864,131684,0,0,0,0,816,2400,0,0,0,1063,5888
59,W2,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,46944,54.533061,10,10,10,10,816,2416,0,16,800,46944,128488,0,0,0,0,816,2400,0,0,0,1038,5888
60,W3,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,50208,50.987890,10,10,10,10,816,2416,0,16,800,50208,135724,0,0,0,0,816,2400,0,0,0,1074,5888
61,W0,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,39600,64.646465,10,10,10,10,816,2416,0,16,800,39600,138940,0,0,0,0,816,2400,0,0,0,1363,5888
62,W2,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,46944,54.533061,10,10,10,10,816,2416,0,16,800,46944,131668,0,0,0,0,816,2400,0,0,0,1069,5888
63,W3,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,50208,50.987890,10,10,10,10,816,2416,0,16,800,50208,128452,0,0,0,0,816,2400,0,0,0,1038,5888
64,W1,4,4,0,0,0,0,0,0,0,0,0,800,800,800,0,0,0,0,800,800,800,100.000000,25600,42864,59.723778,10,10,10,10,816,2416,0,16,800,42864,135688,0,0,0,0,816,2400,0,0,0,1138,5888
