"build_profile","wire_layout","wire_profile","nodes","generated","accepted","delivered","delivery_pct","payload_delivered_bytes","origin_wire_bytes","wire_efficiency_pct","latency_p95_ms","latency_p99_ms","no_space","no_route","link_down","other_rejected","duplicate_deliveries","routes_hwm_max","discoveries_hwm_max","q0_hwm_max","q1_hwm_max","pending_q1_hwm_max","host_work_ms","node_storage_bytes","total_node_storage_bytes"
"FULL","w0","W0","8","80","80","80","100.000000","1280","6140","20.846906","10","10","0","0","0","0","0","7","0","0","0","0","0","9400","75200"
"FULL","w0","W0","16","160","160","110","68.750000","1760","12380","14.216478","10","10","0","0","0","0","0","8","0","0","0","0","0","9400","150400"
"FULL","w1","W1","8","80","80","80","100.000000","1280","7052","18.150879","10","10","0","0","0","0","0","7","0","0","0","0","0","9400","75200"
"FULL","w1","W1","16","160","160","110","68.750000","1760","14220","12.376934","10","10","0","0","0","0","0","8","0","0","0","0","0","9400","150400"
"FULL","w2","W2","8","80","80","80","100.000000","1280","7992","16.016016","10","10","0","0","0","0","0","7","0","0","0","0","0","9400","75200"
"FULL","w2","W2","16","160","160","110","68.750000","1760","16120","10.918114","10","10","0","0","0","0","0","8","0","0","0","0","0","9400","150400"
"FULL","w3","W3","8","80","80","80","100.000000","1280","8744","14.638609","10","10","0","0","0","0","0","7","0","0","0","0","0","9400","75200"
"FULL","w3","W3","16","160","160","110","68.750000","1760","17640","9.977324","10","10","0","0","0","0","0","8","0","0","0","0","0","9400","150400"
"FULL","mixed","W0","2","20","20","20","100.000000","320","1560","20.512821","10","10","0","0","0","0","0","7","0","0","0","0","0","9400","18800"
"FULL","mixed","W1","2","20","20","20","100.000000","320","1676","19.093079","10","10","0","0","0","0","0","4","0","0","0","0","0","9400","18800"
"FULL","mixed","W2","2","20","20","20","100.000000","320","2100","15.238095","10","10","0","0","0","0","0","6","0","0","0","0","0","9400","18800"
"FULL","mixed","W3","2","20","20","20","100.000000","320","2148","14.897579","10","10","0","0","0","0","0","4","0","0","0","0","0","9400","18800"
"FULL","mixed","W0","4","40","40","30","75.000000","480","3170","15.141956","10","10","0","0","0","0","0","8","0","0","0","0","0","9400","37600"
"FULL","mixed","W1","4","40","40","20","50.000000","320","3526","9.075440","10","10","0","0","0","0","0","6","0","0","0","0","0","9400","37600"
"FULL","mixed","W2","4","40","40","30","75.000000","480","3996","12.012012","10","10","0","0","0","0","0","8","0","0","0","0","0","9400","37600"
"FULL","mixed","W3","4","40","40","30","75.000000","480","4372","10.978957","10","10","0","0","0","0","0","6","0","0","0","0","0","9400","37600"
