"status","profile","wire_mode","wire_layout","w0_nodes","w1_nodes","w2_nodes","w3_nodes","topology","traffic","nodes","ticks","step_ms","messages_per_node","payload_bytes","warmup_ticks","warmup_batch","loss_per_mille","duplicate_per_mille","max_delay_ms","flap_every_ticks","generated","accepted","delivered","q0_generated","q0_accepted","q0_delivered","q1_generated","q1_accepted","q1_delivered","delivery_pct","payload_delivered_bytes","wire_bytes","wire_efficiency_pct","latency_p95_ms","latency_p99_ms","fairness","control_frames","forwarded_frames","no_space","no_route","link_down","event_hwm","event_capacity","simulator_backpressure","duplicate_business","route_loop","node_storage_bytes","total_node_storage_bytes","host_allocated_bytes","host_work_ms","wall_elapsed_ms"
"PASS","FULL","fixed","w0","8","0","0","0","tree","two-hop","8","10","10","1","16","40","0","0","0","0","0","80","80","80","0","0","0","80","80","80","100.000000","1280","6140","20.846906","10","10","1.000000000","28","80","0","0","0","8","512","0","0","0","9400","75200","303569","0","0"
"PASS","FULL","fixed","w0","16","0","0","0","tree","two-hop","16","10","10","1","16","40","0","0","0","0","0","160","160","110","0","0","0","160","160","110","68.750000","1760","12380","14.216478","10","10","0.687500000","60","160","0","0","0","16","1024","0","0","0","9400","150400","607137","0","0"
"PASS","FULL","fixed","w1","0","8","0","0","tree","two-hop","8","10","10","1","16","40","0","0","0","0","0","80","80","80","0","0","0","80","80","80","100.000000","1280","7052","18.150879","10","10","1.000000000","28","80","0","0","0","8","512","0","0","0","9400","75200","303569","0","0"
"PASS","FULL","fixed","w1","0","16","0","0","tree","two-hop","16","10","10","1","16","40","0","0","0","0","0","160","160","110","0","0","0","160","160","110","68.750000","1760","14220","12.376934","10","10","0.687500000","60","160","0","0","0","16","1024","0","0","0","9400","150400","607137","0","1"
"PASS","FULL","fixed","w2","0","0","8","0","tree","two-hop","8","10","10","1","16","40","0","0","0","0","0","80","80","80","0","0","0","80","80","80","100.000000","1280","7992","16.016016","10","10","1.000000000","28","80","0","0","0","8","512","0","0","0","9400","75200","303569","0","0"
"PASS","FULL","fixed","w2","0","0","16","0","tree","two-hop","16","10","10","1","16","40","0","0","0","0","0","160","160","110","0","0","0","160","160","110","68.750000","1760","16120","10.918114","10","10","0.687500000","60","160","0","0","0","16","1024","0","0","0","9400","150400","607137","0","0"
"PASS","FULL","fixed","w3","0","0","0","8","tree","two-hop","8","10","10","1","16","40","0","0","0","0","0","80","80","80","0","0","0","80","80","80","100.000000","1280","8744","14.638609","10","10","1.000000000","28","80","0","0","0","8","512","0","0","0","9400","75200","303569","0","0"
"PASS","FULL","fixed","w3","0","0","0","16","tree","two-hop","16","10","10","1","16","40","0","0","0","0","0","160","160","110","0","0","0","160","160","110","68.750000","1760","17640","9.977324","10","10","0.687500000","60","160","0","0","0","16","1024","0","0","0","9400","150400","607137","0","0"
"PASS","FULL","fixed","mixed","2","2","2","2","tree","two-hop","8","10","10","1","16","40","0","0","0","0","0","80","80","80","0","0","0","80","80","80","100.000000","1280","7484","17.103153","10","10","1.000000000","28","80","0","0","0","8","512","0","0","0","9400","75200","303569","0","0"
"PASS","FULL","fixed","mixed","4","4","4","4","tree","two-hop","16","10","10","1","16","40","0","0","0","0","0","160","160","110","0","0","0","160","160","110","68.750000","1760","15064","11.683484","10","10","0.687500000","60","160","0","0","0","16","1024","0","0","0","9400","150400","607137","0","0"
